gene_names,protein_name.x,chr.x,start.x,end.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps,num_effect_snps,adsp_size.y,ukb_size.y,gene_ind,uniprot_id,protein_name.y,chr.y,start.y,end.y
ACRBP,Acrosin-binding protein,12,6747241,6756626,0.967227487339595,0.0875905591796539,0.355225645980722,0.212090572273175,10454,317550,0.213896006814692,0.351927084614914,0.460840916289997,0.150497994846113,0.354833628444242,0.943517206794657,0.0128127600593266,0.005798239158606,761,11,10454,317550,10,Q8NEB7,Acrosin-binding protein,12,6747241,6756626
ACVRL1,Serine/threonine-protein kinase receptor R3,12,52300692,52317145,0.056210469536251,0.791228441885516,0.730245079426576,0.474862727847719,10454,312975,0.676194924071601,0.65739173258488,0.414980615177217,0.82244568971167,0.190434020065685,0.0707066792824303,0.0620022250679885,0.00133193785721354,992,71,10454,312975,11,P37023,Serine/threonine-protein kinase receptor R3,12,52300692,52317145
ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130,0.825403530160012,0.688433276629234,0.152220265593121,0.832775332045051,10454,318445,0.224820218502367,0.240090915189164,0.240076529334865,0.571170004222341,0.212698280866292,0.0957449435347679,0.0523529755560655,0.000265501441112127,820,70,10454,318445,12,Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130
ACYP1,Acylphosphatase-1,14,75519924,75536186,0.899924066272959,0.881688685051693,0.3790935162219,0.947946704240305,10454,318201,0.917419312623927,0.892099323854925,0.640878452929745,0.276521695649106,0.0772577470788056,0.0472319680458447,0.0173670413439136,0.00285728123245098,705,129,10454,318201,13,P07311,Acylphosphatase-1,14,75519924,75536186
ADA,Adenosine deaminase,20,43248163,43280874,0.55750569176934,0.881761566138421,0.735816528994665,0.96789661746809,10454,312284,0.413571667917916,0.155152650404433,0.0803371602673798,0.204871103778654,0.190336290332613,0.19090483711836,0.273266646857228,0.0782818541545729,909,146,10454,312284,14,P00813,Adenosine deaminase,20,43248163,43280874
ADA2,Adenosine deaminase 2,22,17660194,17702879,0.387230836948103,0.533805865620405,0.350813458425733,0.428817483228611,10454,312844,0.778317871522607,100,100,0.0612256865697044,100,100,0.0516487113764371,2.81792532374736e-06,1316,110,10454,312844,15,Q9NZK5,Adenosine deaminase 2,22,17660194,17702879
ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024,0.210062750184613,0.843289970435871,0.324013686021828,0.074314600336703,10454,318326,0.535275205079952,0.614952856769622,0.443177110635171,0.90284981427662,0.478558248660084,0.227080817858084,0.0200473114998784,2.12690561827032e-05,1668,86,10454,318326,16,O43184,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252,0.190726272403567,0.0503433650088512,0.131294642856822,0.179808685604157,10454,313327,0.0206671559830877,0.0162988885612977,0.0897533638368795,0.0250092185780977,0.0807800653680094,0.925217556006806,0.381556265450501,0.0479394108583034,478,196,10454,313327,17,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204,0.974107053967841,0.615108595363554,0.621256787347982,0.196392745854634,10454,312918,0.243820008531972,0.438894384947982,0.59107205122803,0.624880821342284,0.86387916702361,0.816950151264381,0.201859991878172,0.00508211081576895,807,213,10454,312918,18,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851,0.296272682866556,0.620365689233671,0.704531912459958,0.323900842771342,10454,312284,0.139166675082901,0.0327183661211525,0.0310107006865479,0.0573148768572897,0.163381477544652,0.920690230239795,0.333550244526279,0.0266477039465418,1328,365,10454,312284,19,O75077,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372,0.97298774256604,0.686350588318753,0.725019103823024,0.795883528549569,10454,312409,0.634770259025556,0.300701532624708,0.140038730533156,0.130096584884369,0.126576913420503,0.174662968001648,0.113325808588354,0.0132303467287438,800,315,10454,312409,20,P78325,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372
ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663,0.000471139353076855,0.0342371550507063,0.256844169141008,0.0324183415163484,10454,317541,0.0359022988558461,100,100,0.105961548242039,100,100,0.0136880006739011,1.41915502676477e-05,1068,214,10454,317541,21,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508,0.927421491706738,0.202168634597917,0.770719287243981,0.31689133468255,10454,312214,0.660249276847267,0.860275991701519,0.742677581287721,0.245596383294238,0.493981742185851,0.802843372222425,0.132976056692598,0.0840441147506559,1321,327,10454,312214,22,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508
ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417,0.638735973637311,0.65646812895773,0.700128329386882,0.819960348885743,10454,313327,0.706377491147797,0.925004204541318,0.905819915673557,0.751263527015271,0.725941543493287,0.462391900420672,0.0202116844559183,6.54964176542187e-05,1546,169,10454,313327,23,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417
ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888,0.689906351069021,0.573392051071889,0.131210258952452,0.354121944695456,10454,312549,0.968818434596254,0.823894291196256,0.534473221872871,0.47039451484178,0.373536054159666,0.228779890575056,0.202401779615482,0.0162553842856873,1045,269,10454,312549,24,Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888
ADAMTSL4,ADAMTS-like protein 4,1,150521884,150533413,0.0749051714497088,0.987180125808026,0.693488535127513,0.535107544954121,10454,318239,0.0399045755965748,0.120476589437927,0.916987018047756,0.933148406280704,0.381510938248568,0.165835503830654,0.0419611298788084,0.00417518399304742,733,139,10454,318239,25,Q6UY14,ADAMTS-like protein 4,1,150521884,150533413
ADAMTSL5,ADAMTS-like protein 5,19,1505017,1513603,0.849126736807731,0.427385608624436,0.985911417212859,0.576632037312967,10454,317414,0.467150098197305,0.673866785911865,0.609605763316066,0.348270848812423,0.178913396061487,0.109463027687348,0.0736825971199426,9.83788728788673e-05,985,210,10454,317414,26,Q6ZMM2,ADAMTS-like protein 5,19,1505017,1513603
ADD1,Alpha-adducin,4,2845584,2931803,0.476823625493289,0.634885695556621,0.81038182199194,0.776889681071488,10454,318083,0.523361732448641,100,100,0.266394324580333,100,100,0.0102687824142724,2.28775736584777e-05,936,32,10454,318083,27,P35611,Alpha-adducin,4,2845584,2931803
ADGRB3,Adhesion G protein-coupled receptor B3,6,69345259,70099403,0.518173376413516,0.258006807976882,0.421701213647373,0.752267477250612,10454,312975,0.932048752068933,0.763080500411353,0.465144204585615,0.727424221549929,0.703137958509608,0.445172484652032,0.588082396969079,0.0759427821665452,2514,310,10454,312975,28,O60242,Adhesion G protein-coupled receptor B3,6,69345259,70099403
ADGRD1,Adhesion G-protein coupled receptor D1,12,131438452,131626014,0.857316582059356,0.25894579641509,0.742340750897272,0.0847982951219539,10454,318083,0.651370993539692,0.647978470957853,0.41529271462631,0.62799858080895,0.744219097709867,0.550705506559443,0.163363110410162,0.0705337498820473,1964,464,10454,318083,29,Q6QNK2,Adhesion G-protein coupled receptor D1,12,131438452,131626014
ADGRE1,Adhesion G protein-coupled receptor E1,19,6887577,6940470,0.599614928495566,0.74138776833433,0.0672336676633271,0.297046782284541,10454,317541,0.573643678198567,0.76952928545293,0.648865138677271,5.58984905342028e-05,0.000198677126681395,0.367851188129968,0.0751236304465956,0.0137561690320853,1486,369,10454,317541,30,Q14246,Adhesion G protein-coupled receptor E1,19,6887577,6940470
ADGRE2,Adhesion G protein-coupled receptor E2,19,14843205,14889353,0.920776050157303,0.313454222825779,0.505760957636154,0.849658352730029,10454,312493,0.626729874412121,0.833770334807095,0.721480726756451,0.378963357208863,0.677657125951406,0.948531265430232,0.0600974894128276,0.00113587031506104,1527,179,10454,312493,31,Q9UHX3,Adhesion G protein-coupled receptor E2,19,14843205,14889353
ADGRE5,Adhesion G protein-coupled receptor E5,19,14491313,14519537,0.849059757632653,0.256386396373738,0.148355292380606,0.323512774634346,10454,312386,0.324072238761865,0.597833594722014,0.812134118804675,0.21713229013325,0.0179721215286283,0.0106990262332973,0.0197693831229251,4.44768016704351e-05,1138,206,10454,312386,32,P48960,Adhesion G protein-coupled receptor E5,19,14491313,14519537
ADIPOQ,Adiponectin,3,186560463,186576252,0.583223824790264,0.910733881587989,0.967259723793773,0.520867735914859,10454,317354,0.479218187392754,0.274887119897404,0.14903776284752,0.651745857076145,0.206653956115799,0.0858930368477586,0.0602915392777831,0.00537906867083433,1335,217,10454,317354,33,Q15848,Adiponectin,3,186560463,186576252
ADM,Pro-adrenomedullin,11,10326227,10328944,0.483440877157787,0.401155055087448,0.106745292691409,0.410507713871968,10454,312360,0.0688331766231941,0.17491972222139,0.674504513926648,0.0493230782131419,0.144232158319565,0.927213935810251,0.0203277965959378,2.96506027985644e-05,1446,42,10454,312360,34,P35318,Pro-adrenomedullin,11,10326227,10328944
AFAP1,Actin filament-associated protein 1,4,7760441,7941653,0.124309606366108,0.0453133334959595,0.0448769125515343,0.011650593852558,10454,318083,0.0286348343977348,0.00140096630760089,0.00385351730556948,0.0461923943364925,0.129100107597361,0.72927781650435,0.510809189920655,0.0723280241342102,1890,224,10454,318083,35,Q8N556,Actin filament-associated protein 1,4,7760441,7941653
AFP,Alpha-fetoprotein,4,74296855,74321891,0.390197830789255,0.835461527167319,0.797939388102587,0.622427661804854,10454,313027,0.946717569194857,0.575696791054945,0.294303468563663,0.100060667138121,0.258090843832227,0.947623392840286,0.0295877814426159,0.000236937631364105,537,88,10454,313027,36,P02771,Alpha-fetoprotein,4,74296855,74321891
AGER,Advanced glycosylation end product-specific receptor,6,32148745,32152101,0.0329065303118963,0.0189216119897482,0.00116710408649612,0.968450576578663,10454,312732,0.921372473172937,100,100,0.0107588666844589,100,100,0.020413363645811,9.44301960355711e-06,4041,143,10454,312732,37,Q15109,Advanced glycosylation end product-specific receptor,6,32148745,32152101
AGRN,Agrin,1,955503,991496,0.115259969501904,0.204741173289359,0.00490147984606681,0.00957712308364134,10454,312493,0.398416397828889,0.25041750342938,0.15159907075422,0.818497424187258,0.280961097692757,0.114833097220781,0.0740349992009406,0.0093205430707784,439,258,10454,312493,38,O00468,Agrin,1,955503,991496
AGT,Angiotensinogen,1,230838269,230850043,0.341290165284709,0.802885320405214,0.757855171242858,0.471416340366001,10454,317378,0.501588262866778,0.688867543572556,0.58776657194583,0.858013540025753,0.034507902988421,0.0096352536838575,0.130851571969951,0.00411419199357913,1416,269,10454,317378,39,P01019,Angiotensinogen,1,230838269,230850043
AGXT,Serine--pyruvate aminotransferase,2,241807896,241819919,0.989703235925514,0.211396949452323,0.0269397830879983,0.306106283315007,10454,312630,0.0143991630675266,0.0460479938544721,0.681997030057501,0.270238653576264,0.189080759343027,0.145802474199168,0.0361904993622142,6.07610207240285e-05,1273,56,10454,312630,40,P21549,Serine--pyruvate aminotransferase,2,241807896,241819919
AHCY,Adenosylhomocysteinase,20,32868074,32899608,0.952984025931719,0.920115108464584,0.911620869532794,0.996609953730266,10454,312630,0.484320783672174,0.664555216984381,0.566742306525348,0.427095258186695,0.439562276262179,0.314127445910398,0.0192712653899571,0.011353564127419,459,181,10454,312630,41,P23526,Adenosylhomocysteinase,20,32868074,32899608
AHNAK2,Protein AHNAK2,14,105403581,105444694,0.95933394289616,0.861712589161045,0.82201871688341,0.959186636268499,10454,318239,0.474919906241918,0.476499234117275,0.324169379069469,0.0558498225851846,0.160658123387786,0.983483230684474,0.02695251816576,1.30521592984379e-06,678,110,10454,318239,42,Q8IVF2,Protein AHNAK2,14,105403581,105444694
AHSG,Alpha-2-HS-glycoprotein,3,186330712,186339107,0.985002166186948,0.670175210933238,0.46180430501022,0.587808894625765,10454,317378,0.940525622405926,0.900287834663543,0.651108497629728,0.756051509345448,0.493488680611127,0.251312459533671,0.265608736822431,0.00608356190087779,1309,314,10454,317378,43,P02765,Alpha-2-HS-glycoprotein,3,186330712,186339107
AIF1,Allograft inflammatory factor 1,6,31582961,31584798,0.623797083573914,0.600740365488598,0.645693274932722,0.859775105305009,10454,313474,0.541972973874277,100,100,0.720621735104655,100,100,0.0110694864373838,4.79496585843885e-07,4084,45,10454,313474,44,P55008,Allograft inflammatory factor 1,6,31582961,31584798
AIF1L,Allograft inflammatory factor 1-like,9,133971863,133998539,0.200166407402369,0.490030803481886,0.655363465133221,0.184946625636964,10454,318239,0.102382952847362,100,100,0.382268683434757,100,100,0.0256493597405412,4.10939789783125e-06,829,32,10454,318239,45,Q9BQI0,Allograft inflammatory factor 1-like,9,133971863,133998539
AKR7L,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688,0.718732876649428,0.65390651428428,0.99154628560556,0.131619899104432,10454,318326,0.806995859069971,0.541231003766903,0.279795890411694,0.114305169658323,0.056983120962341,0.0720216761137534,0.0195013494876456,2.25403086587023e-05,1510,66,10454,318326,46,Q8NHP1,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688
ALCAM,CD166 antigen,3,105085753,105295744,0.358446827597668,0.0604997304273633,0.875815117194045,0.984574495670376,10454,312214,0.211855726043954,100,100,0.594092752026606,100,100,0.0194644643391407,0.000133233932407505,1603,158,10454,312214,47,Q13740,CD166 antigen,3,105085753,105295744
ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256,0.083184843006216,0.519977459057668,0.64092820862622,0.544770356128168,10454,312773,0.28380216145687,0.249254436361846,0.201738032486949,0.189087789397292,0.375580967866253,0.628680758987017,0.0928580880780482,1.27240190859381e-06,612,65,10454,312773,48,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256
ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435,0.771544244339779,0.608287153393051,0.0375706409839542,0.0311244191893849,10454,317463,0.145727857282904,0.0799683942531852,0.0866357784389076,0.114340078124914,0.032473398429412,0.03676036640518,0.0107236793432323,0.000454445026780377,1145,56,10454,317463,49,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435
ALPP,"Alkaline phosphatase, placental type",2,233243244,233247599,0.394166396122621,0.187212272333001,0.149562938663693,0.824365918124384,10454,312825,0.389322881121281,0.22920771755793,0.137552528524002,0.753193273860106,0.674676094848803,0.406785155349372,0.178469958367083,0.0071045725416668,851,180,10454,312825,50,P05187,"Alkaline phosphatase, placental type",2,233243244,233247599
AMBP,Protein AMBP,9,116822407,116840752,0.740741261879124,0.932919343619859,0.162057677567083,0.621385915317318,10454,312413,0.348916552187886,0.529175868757381,0.529423292166263,0.401071714606675,0.544861953257886,0.475426793867496,0.0134517395535668,0.000382365917525564,1301,235,10454,312413,51,P02760,Protein AMBP,9,116822407,116840752
AMIGO2,Amphoterin-induced protein 2,12,47469490,47473734,0.0870098905324346,0.204142351156177,0.699671662415452,0.240534791698674,10454,312825,0.136113181882969,100,100,0.482766313146913,100,100,0.0320694029451259,2.84568249094514e-06,1216,179,10454,312825,52,Q86SJ2,Amphoterin-induced protein 2,12,47469490,47473734
AMN,Protein amnionless,14,103388993,103399933,0.486015667529448,0.861297584251079,0.621372471888305,0.807150307414348,10454,313327,0.65457605463973,0.597765813416225,0.362589951267592,0.96070888199751,0.99450903086537,0.926176379875623,0.160478183847948,1.96407495244562e-06,708,449,10454,313327,53,Q9BXJ7,Protein amnionless,14,103388993,103399933
AMPD3,AMP deaminase 3,11,10329860,10529126,0.701872985406739,0.262122103525867,0.541284115244523,0.811119920950909,10454,317485,0.783208642414448,0.244178743730899,0.0976274713598313,0.552782519945041,0.838419199305992,0.991304926905351,0.0348440053420892,0.0221203141015316,1704,366,10454,317485,54,Q01432,AMP deaminase 3,11,10329860,10529126
AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312,0.974729770258746,0.222872305297561,0.694448634322016,0.368659720915253,10454,319363,0.610182909866976,0.363007246915974,0.18379296732796,0.266454237281149,0.0168715015457941,0.00847929920022914,0.150749031036964,0.00166444253752894,420,213,10454,319363,55,P0DUB6_P0DTE7_P0DTE8,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312
AMY2A,Pancreatic alpha-amylase,1,104159999,104168402,0.940295834284182,0.339846166949069,0.759743723833885,0.404670129488861,10454,314059,0.327813914092631,0.61861051307565,0.95566955084137,0.540053402521084,0.777897837361707,0.721689408973035,0.185642552462408,0.040737069738292,434,249,10454,314059,56,P04746,Pancreatic alpha-amylase,1,104159999,104168402
AMY2B,Alpha-amylase 2B,1,104096437,104122156,0.970807581709802,0.0427316862787333,0.348195287240499,0.627648550292662,10454,315075,0.296469817284107,0.578674997349827,0.949105867792676,0.542272605130671,0.809081089568532,0.818991464961726,0.184133273621427,0.0340351183659369,500,201,10454,315075,57,P19961,Alpha-amylase 2B,1,104096437,104122156
ANG,Angiogenin,14,21152336,21167130,0.693706003843581,0.275544112996949,0.771255647586825,0.908113816298481,10454,312730,0.0879835970868033,0.23156093999244,0.902270715584701,0.600603788577228,0.725908490426076,0.544876427180253,0.216323958203242,0.00274440084833032,1589,88,10454,312730,58,P03950,Angiogenin,14,21152336,21167130
ANGPT2,Angiopoietin-2,8,6357172,6420930,0.800499211071676,0.499005662901403,0.560049642494579,0.644862576584379,10454,312360,0.726217591329261,100,100,0.908169351834525,100,100,0.0178914830586268,6.16137384012753e-05,1971,158,10454,312360,59,O15123,Angiopoietin-2,8,6357172,6420930
ANGPTL1,Angiopoietin-related protein 1,1,178818840,178840187,0.169109383964349,0.931655717921163,0.186164471271825,0.363789175104399,10454,313138,0.413299558927955,0.68479766468608,0.766732206144226,0.811961811330545,0.971623437947918,0.975032296565564,0.0898005670042328,0.00582336192348397,931,62,10454,313138,60,O95841,Angiopoietin-related protein 1,1,178818840,178840187
ANGPTL3,Angiopoietin-related protein 3,1,63063158,63071830,0.165585772464505,0.0323035612084863,0.134855470396376,0.0283735411431816,10454,312613,0.281917113731274,0.47101496479918,0.555278860418656,0.544935894226963,0.778605598700163,0.714285791328737,0.0450743383320838,0.000269941852285256,1062,98,10454,312613,61,Q9Y5C1,Angiopoietin-related protein 3,1,63063158,63071830
ANGPTL4,Angiopoietin-related protein 4,19,8428173,8439257,0.399369946768697,0.415455387546339,0.685045158375282,0.0271050894659837,10454,312549,0.208591634440146,0.0255621183588223,0.0164707041619746,0.0099018280188181,0.0279731913355695,0.479256854880869,0.0465296622425323,0.000674490251083284,1101,109,10454,312549,62,Q9BY76,Angiopoietin-related protein 4,19,8428173,8439257
ANGPTL7,Angiopoietin-related protein 7,1,11249398,11256038,0.0155900119816652,0.576268382387961,0.742341875455186,0.945857025334472,10454,312360,0.699225183616586,0.852535299358557,0.680288550745805,0.0775056731270724,0.208611775776443,0.892920159107455,0.0866168715315789,0.0459239113297782,580,192,10454,312360,63,O43827,Angiopoietin-related protein 7,1,11249398,11256038
ANPEP,Aminopeptidase N,15,90328120,90358633,0.390906144321751,0.412311962243461,0.714629877018274,0.408060089565158,10454,312550,0.204231323885563,0.425871398993977,0.757354952617907,0.621041247834963,0.803922758994504,0.661176633252327,0.136636265244301,0.00521830537372448,1032,159,10454,312550,64,P15144,Aminopeptidase N,15,90328120,90358633
ANXA2,Annexin A2,15,60639333,60695082,0.230730098418886,0.909292275878183,0.729745550590809,0.885613556736569,10454,318723,0.932468100361302,0.891905297999613,0.637823861252078,0.0822128306324118,0.139581576611751,0.338102969056854,0.141717516256014,0.00959359658615218,914,93,10454,318723,65,P07355,Annexin A2,15,60639333,60695082
AOC1,Amiloride-sensitive amine oxidase [copper-containing],7,150521715,150558592,0.27457096318183,0.372085231874483,0.975715515362063,0.681829293778266,10454,313327,0.366931056158778,0.665207316150729,0.971011323897442,0.0272256350245428,0.0864783213791322,0.889550658970086,0.0287790008787114,0.000149707177738831,1570,58,10454,313327,66,P19801,Amiloride-sensitive amine oxidase [copper-containing],7,150521715,150558592
AOC3,Membrane primary amine oxidase,17,41003201,41010147,0.00675383681218494,0.908966265531508,0.874887935684389,0.786492125284782,10454,312497,0.669938032165526,0.531246498474893,0.297951454074876,0.0252374084720221,0.0713107683999043,0.600726526111254,0.183532753730667,0.0276983298603724,680,127,10454,312497,67,Q16853,Membrane primary amine oxidase,17,41003201,41010147
AP1G2,AP-1 complex subunit gamma-like 2,14,24028774,24037279,0.774215573133686,0.560503139200837,0.713198427162545,0.647016054336486,10454,317550,0.850727823684966,0.878082413292995,0.635553187312538,0.829593378554614,0.731637089363996,0.446853936581368,0.0105774653568881,1.99438138576579e-05,850,71,10454,317550,68,O75843,AP-1 complex subunit gamma-like 2,14,24028774,24037279
APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,10,26727132,26856732,0.715560867807224,0.538358083674119,0.951852462454415,0.364798763871925,10454,312825,0.147323344937923,100,100,0.101393250587598,100,100,0.0218096540264403,6.10968566897613e-07,1650,41,10454,312825,69,Q7Z5R6,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,10,26727132,26856732
APCS,Serum amyloid P-component,1,159557615,159558655,0.119338906818032,0.314925660117494,0.844134927268303,0.437878091715161,10454,317629,0.356301750921957,0.612256036292721,0.718061453755926,0.112891777505417,0.246917965918886,0.59400296972196,0.0262005961182233,0.000854959820748423,833,96,10454,317629,70,P02743,Serum amyloid P-component,1,159557615,159558655
APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,14,20923350,20925927,0.513618248516643,0.375454282964461,0.782121207164437,0.3350006987666,10454,312484,0.615866998850871,100,100,0.885844484585935,100,100,0.0736038984674808,1.76725589791135e-05,1749,37,10454,312484,71,P27695,DNA-(apurinic or apyrimidinic site) endonuclease,14,20923350,20925927
APOA4,Apolipoprotein A-IV,11,116691419,116694022,0.257625897296524,0.720135629763098,0.19809149699248,0.916677783066527,10454,317354,0.139943009913854,100,100,0.865921033523432,100,100,0.0110966060874185,1.29877245363359e-06,1215,36,10454,317354,72,P06727,Apolipoprotein A-IV,11,116691419,116694022
APOBR,Apolipoprotein B receptor,16,28505970,28510291,0.0524991433988888,0.0324349846201663,0.0330242400416729,0.0345960313645783,10454,318239,0.0355895898336909,0.0660143134286519,0.312692760087354,0.287230864533601,0.12298093306508,0.0802963465811019,0.671092051113372,0.107205573759854,378,47,10454,318239,73,Q0VD83,Apolipoprotein B receptor,16,28505970,28510291
APOC1,Apolipoprotein C-I,19,45417504,45422606,0.00138372341272597,0.000345738915259464,0.0498361473788685,0.00252261550333488,10454,317415,0.000509687252885102,0.00195686811224937,0.530468746108021,0.0358913044669384,0.0065651018060245,0.0174582492524551,0.0460332607699141,7.940129996814e-06,877,86,10454,317415,74,P02654,Apolipoprotein C-I,19,45417504,45422606
APOD,Apolipoprotein D,3,195295573,195311076,0.215461926209632,0.19040713386438,0.0471687434452224,0.0298370708800782,10454,318788,0.108948907829034,100,100,0.7131840034394,100,100,0.0150818071277282,4.72717295202107e-05,867,135,10454,318788,75,P05090,Apolipoprotein D,3,195295573,195311076
