gene_name,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind.y,chr,TSS,TES
ABCC13,0.589540485931624,0.674875188340807,0.305971802756342,0.141391223428817,10454,367182,18856,ENSG00000243064.8,ENSG00000243064.8,0.347687879049699,0.26111643672737,0.179271154096922,0.697989324584487,0.655134558545825,0.40438217990376,11.2323798961726,2.6383545622445133,9,10454,367182,18856,21,14236205,14236206
ABCC3,0.319071273666319,0.818002251452827,0.7543471842603,0.784476733666692,10454,367182,16070,ENSG00000108846.15,ENSG00000108846.15,0.895638514558783,0.985734983054992,0.914491391818892,0.0465055481161306,0.112885285019399,0.527304625446865,35.77827060274,2.4252663911364887,7,10454,367182,16070,17,50634776,50634777
ABCC4,0.45583197624641,0.605861685524022,0.417768421556488,0.405675548947358,10454,367182,12718,ENSG00000125257.13,ENSG00000125257.13,0.600177883760429,0.865415282656603,0.904561249815798,0.739413130164075,0.946178782184193,0.998306297245582,11.1492991264935,4.6653091470209285,8,10454,367182,12718,13,95301445,95301446
ABCC5,0.217966506312639,0.460297173029756,0.258812666190456,0.921967463783739,10454,367182,4361,ENSG00000114770.16,ENSG00000114770.16,0.0971421431819034,0.252331087641357,0.961659835151949,0.192758812190579,0.0057593827186256,0.0033296026571561,55.9746826486022,4.345917072023304,5,10454,367182,4361,3,184018014,184018015
ABCC6,0.696201438544743,0.215950629690106,0.685188431806391,0.883816621127345,10454,367182,14506,ENSG00000091262.15,ENSG00000091262.15,0.401693136993416,0.672634239563148,0.764324014918413,0.476722277973922,0.67555439093837,0.597954911140808,11.1604996605239,4.6797301151997415,6,10454,367182,14506,16,16223521,16223522
ABCD3,0.845975043801625,0.64979703732047,0.519648312296866,0.505102329301546,10454,367182,915,ENSG00000117528.11,ENSG00000117528.11,0.889847170511916,0.94185799907099,0.751091610901737,0.838531259675785,0.28340524687957,0.11528551695933,10.5519038477847,3.767725268867709,5,10454,367182,915,1,94418454,94418455
ABCF2,0.0510490487603789,0.26113947062988,0.0728794237609552,0.120258609326202,10454,367182,8035,ENSG00000033050.7,ENSG00000033050.7,0.479685056274106,0.349650451741823,0.205618501288862,0.932618799502286,0.942079230941294,0.737672518364589,11.4590713478131,3.1852370942299975,11,10454,367182,8035,7,151227229,151227230
ABCF3,0.533725923187725,0.595321442557577,0.633168495972855,0.565853994536321,10454,367182,4367,ENSG00000161204.11,ENSG00000161204.11,0.436407773218952,0.471122440499316,0.34290219639228,0.0427636606124531,0.0704175861035047,0.272940664858371,11.1892785776302,4.193535459500658,4,10454,367182,4367,3,184186022,184186023
ABCG2,0.875981925781175,0.860417443241792,0.19794795571036,0.182578516134824,10454,367182,4853,ENSG00000118777.10,ENSG00000118777.10,0.890601920132638,0.874977718353112,0.618356140613605,0.140558478258399,0.112367254791021,0.137999012359949,12.1940483700863,2.0218407961915354,6,10454,367182,4853,4,88231321,88231322
ABHD10,0.882394250552418,0.591977636537822,0.705885049557715,0.982927140209017,10454,367182,3981,ENSG00000144827.8,ENSG00000144827.8,0.0403073161949629,0.0805410859634591,0.361338606872227,0.46494133445176,0.711651116642727,0.702035913569508,10.5354836283912,2.778765179255618,7,10454,367182,3981,3,111979009,111979010
ABHD11,0.156572865729902,0.568738074443974,0.843136530334675,0.846095328619872,10454,367182,7455,ENSG00000106077.18,ENSG00000106077.18,0.220209529355181,0.0760895407695802,0.0561170033552264,0.406794836817063,0.708876575072778,0.999784900385991,14.2596663914569,5.572163021582743,9,10454,367182,7455,7,73738866,73738867
ABHD11-AS1,0.9711126671057,0.830025717596413,0.413114152961407,0.727698495440012,10454,367182,7454,ENSG00000225969.1,ENSG00000225969.1,0.151074313739034,0.169961600773417,0.223302084162191,0.848601628589687,0.487936833321138,0.236942552412311,15.413641352789,5.92935738238531,8,10454,367182,7454,7,73735037,73735038
ABHD17AP6,0.139081684017227,0.547265297870146,0.346974433408452,0.845332712780708,10454,367182,15584,ENSG00000226981.2,ENSG00000226981.2,0.263541595618029,0.52162527168,0.820281645827361,0.540385996116336,0.801707510583494,0.795460359971926,14.3476924692501,2.6918560687821866,3,10454,367182,15584,17,20814619,20814620
ABL2,0.826234379754548,0.576096836965896,0.77748049601032,0.882163572555183,10454,367182,1624,ENSG00000143322.19,ENSG00000143322.19,0.706098370573148,100,,0.544525971882064,,,10.9983191374562,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f3b46c7b700> [RTYPES.NILSXP],5,10454,367182,1624,1,179229683,179229684
ABO,0.497182565372707,0.638996239564261,0.335016805120729,0.334090287621405,10454,367182,9387,ENSG00000175164.13,ENSG00000175164.13,0.991306630553201,0.494428769052105,0.235302524580289,0.718938914898406,0.896804686516293,0.766320336105707,19.7010868292536,12.91717180515104,7,10454,367182,9387,9,133275213,133275214
ABRACL,0.331777170037486,0.570530709941069,0.894109817121737,0.888442510322514,10454,367182,6927,ENSG00000146386.7,ENSG00000146386.7,0.0420460974258038,0.0769124074369147,0.318042711049838,0.100915118749754,0.107292563385834,0.182965328276754,26.2251634344771,4.586159657923883,6,10454,367182,6927,6,139028681,139028682
ABT1,0.64643266880306,0.62872034013374,0.382123453141016,0.846488901144893,10454,367182,6214,ENSG00000146109.4,ENSG00000146109.4,0.48556458318632,0.348489941980922,0.20282738815886,0.930059796902768,0.0222266912130407,0.0058199918864574,12.0672598610726,12.342708793777907,6,10454,367182,6214,6,26596951,26596952
ABTB2,0.338726461912103,0.780853649691565,0.761176774197194,0.936713871540668,10454,367182,10579,ENSG00000166016.5,ENSG00000166016.5,0.159468451463566,0.279056394722551,0.448875150619275,0.0078037846530011,0.0289333753532785,0.930668626538667,31.822129139167,3.265560883442434,5,10454,367182,10579,11,34358007,34358008
AC002456.2,0.461124456664152,0.496701741658069,0.0990482987676802,0.22237778091279,10454,367182,7539,ENSG00000223969.5,ENSG00000223969.5,0.472288656106167,0.767242135195261,0.908140784363926,0.573349647399881,0.810490893664354,0.748116365822024,14.7949680548535,8.450772151398054,5,10454,367182,7539,7,90597352,90597353
AC004951.5,0.615349609515194,0.528558606819751,0.403726474706559,0.371192332573389,10454,367182,7329,ENSG00000239556.3,ENSG00000239556.3,0.868995393001657,0.772775114387028,0.484682642798889,0.731197825994697,0.779677954287536,0.537745816567733,52.2853164036197,5.224808610781826,4,10454,367182,7329,7,43990206,43990207
AC004967.7,0.384133123478061,0.44940798918958,0.290911967926622,0.291714202933721,10454,367182,7574,ENSG00000243554.1,ENSG00000243554.1,0.959948688624811,0.304563485419338,0.123282433050396,0.0367826346375993,0.0078959067342105,0.0210533287053862,31.5926641170062,4.253296831597836,4,10454,367182,7574,7,97972253,97972254
AC004980.7,0.26363443458928,0.416907926886208,0.795105542070839,0.981647247093275,10454,367182,7499,ENSG00000205485.13,ENSG00000205485.13,0.723972145166636,0.90576751554098,0.786691901424957,0.91994905078833,0.343261733850554,0.144589597278477,23.9875103796679,3.066726427096899,2,10454,367182,7499,7,76549359,76549360
AC004985.12,0.255728289498408,0.51336702133831,0.941306215221701,0.831165984781631,10454,367182,7328,ENSG00000241057.2,ENSG00000241057.2,0.682887625818696,0.133470136238339,0.0494301456885495,0.604089359047259,0.874190632056697,0.994837974188228,18.3016849177815,4.747176880314012,5,10454,367182,7328,7,43973322,43973323
AC005154.6,0.255407556477081,0.437540037519627,0.856918735858175,0.976882074241999,10454,367182,7251,ENSG00000196295.11,ENSG00000196295.11,0.734510987859081,0.940393709680735,0.929137568430314,0.627485467691102,0.721937573929369,0.51886597274477,119.536700227977,13.090961912657152,3,10454,367182,7251,7,30585971,30585972
AC005154.7,0.214212952266604,0.343036160569916,0.807722089040432,0.996404366701428,10454,367182,7248,ENSG00000244480.1,ENSG00000244480.1,0.865609442654084,0.734264768849173,0.442766241031426,0.748052467076276,0.690596935384217,0.424718436369081,21.5431427765293,3.7653129275686936,2,10454,367182,7248,7,30524534,30524535
AC005154.8,0.211423904178524,0.307711222532034,0.705179792669541,0.720188197035984,10454,367182,7249,ENSG00000226874.1,ENSG00000226874.1,0.972858375204616,0.873489637683978,0.603769749008469,0.672329264910096,0.795091542228686,0.596893758687882,175.272506789013,36.17182388194326,2,10454,367182,7249,7,30544052,30544053
AC005363.9,0.582213680881962,0.51342576431012,0.423448009687144,0.901148764764987,10454,367182,14298,ENSG00000255513.1,ENSG00000255513.1,0.627612127098843,0.777581656558914,0.604798672445923,0.481379902617438,0.766038871812572,0.846835652330101,17.689189503608,3.6416908201205187,9,10454,367182,14298,16,1964094,1964095
AC006369.2,0.279963223549062,0.770134546260416,0.522629035005804,0.900636833802636,10454,367182,2271,ENSG00000236213.1,ENSG00000236213.1,0.0631242123972153,0.152246948751885,0.576873542659679,0.515395449690754,0.805258129652149,0.919996643731286,59.0655788511624,4.5187213727791935,2,10454,367182,2271,2,37600135,37600136
AC006942.4,0.259152471044837,0.754173289695282,0.0781944645554035,0.17593740357089,10454,367182,17996,ENSG00000269194.1,ENSG00000269194.1,0.409496152634272,0.688905049140524,0.798654933985303,0.69135678299303,0.871789632602632,0.732538204570364,23.1026331984004,3.7863330945302134,2,10454,367182,17996,19,49808932,49808933
AC006978.6,0.218111293592352,0.357325076859953,0.334100441261101,0.644828222335879,10454,367182,7244,ENSG00000235859.5,ENSG00000235859.5,0.638301818321451,0.490040249639078,0.272221512379881,0.295249415153946,0.262622611448949,0.208970421922198,11.5603673005335,12.049423882436905,2,10454,367182,7244,7,30371507,30371508
AC007246.3,0.760427886415528,0.784340381905316,0.751407411103487,0.879794307882051,10454,367182,2291,ENSG00000231312.6,ENSG00000231312.6,0.714159723676051,0.292551409577098,0.127394730243423,0.294374456573977,0.0689182819982157,0.0392467040960024,12.5018202518752,2.8869130414094912,2,10454,367182,2291,2,39436636,39436637
AC007278.3,0.166449185475841,0.42354928204194,0.818747919429589,0.194636948930749,10454,367182,2719,ENSG00000234389.1,ENSG00000234389.1,0.372111739941846,0.222498912724257,0.137207750966547,0.341095542213494,0.0836633809148845,0.04402522478198,28.6221993272141,10.857024365217187,11,10454,367182,2719,2,102438712,102438713
AC007773.2,0.254248050090426,0.518592753065351,0.925724331224955,0.888249805100882,10454,367182,17482,ENSG00000267213.4,ENSG00000267213.4,0.894816874878285,100,,0.332425885711234,,,13.6528493991224,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f142e8d7640> [RTYPES.NILSXP],2,10454,367182,17482,19,32405541,32405542
AC007879.2,0.729523806612589,0.513352089667806,0.699366428914845,0.953207365777699,10454,367182,3166,ENSG00000234902.6,ENSG00000234902.6,0.432570839235615,0.695347691760733,0.739235533010846,0.0337232990101177,0.0997127572916471,0.749144340379139,10.6501877568298,3.741806974644328,3,10454,367182,3166,2,207236065,207236066
AC008592.3,0.577604721469732,0.497968888537075,0.506246791105596,0.430599688554762,10454,367182,5539,ENSG00000251000.1,ENSG00000251000.1,0.655815502491937,0.657653233945891,0.423896518142575,0.986523971497778,0.802021010504258,0.506661849254897,12.1211435889623,9.308077300740404,11,10454,367182,5539,5,95835045,95835046
AC008746.12,0.0198523820904449,0.183340725355967,0.917592926294393,0.980906213446955,10454,367182,18157,ENSG00000267838.2,ENSG00000267838.2,0.934318534576477,0.530088001413217,0.261164701699741,0.366639885586013,0.530303171014423,0.500634026092653,24.9236753715546,7.616828606641146,9,10454,367182,18157,19,54439543,54439544
AC009303.2,0.21837544209739,0.508577740964068,0.952390137020295,0.528808650486774,10454,367182,2799,ENSG00000279227.1,ENSG00000279227.1,0.0671227501513511,0.157233937457959,0.555151719021829,0.921016377404641,0.390378227037207,0.17130973774975,11.6426118193434,5.129913611919284,6,10454,367182,2799,2,118014173,118014174
AC009495.2,0.118429756552404,0.286022050183589,0.945869100749931,0.840275229346583,10454,367182,2952,ENSG00000235192.1,ENSG00000235192.1,0.887352307394243,0.822837573374711,0.543053351444808,0.965913725886421,0.618357807814602,0.327300648455341,10.8022703895312,3.761223559591721,3,10454,367182,2952,2,165794850,165794851
AC009506.1,0.718688174539379,0.572938226515815,0.894020083516253,0.465007618287705,10454,367182,2929,ENSG00000224152.1,ENSG00000224152.1,0.523873297264229,0.404387112554532,0.235978853339176,0.571307429554914,0.215391720526275,0.0972489066796005,38.4360818604866,4.774345332395069,3,10454,367182,2929,2,159615295,159615296
AC009961.3,0.997174178754178,0.716319795147666,0.207917766585741,0.900023459068555,10454,367182,2931,ENSG00000226266.6,ENSG00000226266.6,0.0793437914936222,0.147542340350017,0.386761559706237,0.349532283722934,0.478206491899574,0.438474556128056,55.0613886029829,28.773196080122585,3,10454,367182,2931,2,159712434,159712435
AC010492.2,0.420099384790251,0.537628248651723,0.413414245044943,0.467410198173773,10454,367182,18148,ENSG00000235081.1,ENSG00000235081.1,0.821785639511176,0.333936078524892,0.143242649224739,0.360509456206356,0.014470865111191,0.0057242929981035,16.6924867501331,5.561093227777962,3,10454,367182,18148,19,54229035,54229036
AC010883.5,0.202216239117178,0.386960973309991,0.484646831008273,0.999999910984771,10454,367182,2309,ENSG00000234936.1,ENSG00000234936.1,0.306550825017966,0.509557562272506,0.582018778164225,0.243882732018631,0.192179454953757,0.163598956209719,10.566318978634,2.9630886102693124,3,10454,367182,2309,2,43229572,43229573
AC011380.8,0.868786130353813,0.650106938346444,0.58998465815273,0.937263857232457,10454,367182,5759,ENSG00000283602.1,ENSG00000283602.1,0.125772717239404,0.21956782407062,0.406726993966111,0.814082699395326,0.687387646172827,0.404667888686465,40.9613239173503,9.514907307745828,4,10454,367182,5759,5,140594569,140594570
AC011899.9,0.558562146100464,0.607171240006071,0.12956561242914,0.754566606362241,10454,367182,8068,ENSG00000233038.5,ENSG00000233038.5,0.0942444625439915,0.211494328838179,0.579591255546129,0.139617951543965,0.282635466459457,0.556938794054118,33.1537396068869,3.372420031202567,2,10454,367182,8068,7,157854528,157854529
AC012146.7,0.192599333216972,0.767389862167668,0.188291195572842,0.930252633054689,10454,367182,15334,ENSG00000234327.7,ENSG00000234327.7,0.184276871357336,100,,0.0129848399227935,,,13.6720645888352,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fb37e6c8940> [RTYPES.NILSXP],3,10454,367182,15334,17,5111467,5111468
AC012442.5,0.649020161332208,0.497417211831451,0.751899179006313,0.757517279212002,10454,367182,2768,ENSG00000243389.1,ENSG00000243389.1,0.891214592221714,0.503866539574733,0.244908088556452,0.03109876097145,0.0957334603597598,0.832227628061204,10.9404416478417,3.148298130329627,5,10454,367182,2768,2,112614212,112614213
AC012454.4,0.822202906125069,0.566800924468799,0.794331264553783,0.770539027310063,10454,367182,2550,ENSG00000203363.2,ENSG00000203363.2,0.664603325490313,0.787899353671729,0.591000069137521,0.477120149011628,0.482949188162909,0.329656061306009,25.6373809080499,7.368374814395213,10,10454,367182,2550,2,85687046,85687047
AC013264.2,0.0118513115446425,0.337690542713533,0.126876571079513,0.132408199891237,10454,367182,3095,ENSG00000231621.1,ENSG00000231621.1,0.920256526707848,100,,0.0282462394902943,,,11.588986690478,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fb48d06a900> [RTYPES.NILSXP],4,10454,367182,3095,2,197197990,197197991
AC015849.2,0.541862216047608,0.619230521997305,0.751268637542347,0.650605532988662,10454,367182,15743,ENSG00000270240.2,ENSG00000270240.2,0.362574473712302,0.654628538176894,0.891934605206751,0.741443675244116,0.48067781942157,0.244188000645755,19.2647829142713,10.220289014965326,2,10454,367182,15743,17,35868966,35868967
AC016747.3,0.435521759525436,0.447551926580728,0.768929448739639,0.636687851808392,10454,367182,2383,ENSG00000212978.6,ENSG00000212978.6,0.475892812666139,100,,0.857212384166467,,,30.0778826908458,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fbf09594840> [RTYPES.NILSXP],3,10454,367182,2383,2,61144968,61144969
AC016757.3,0.759686687943275,0.608015605271181,0.144271453604849,0.119079628787605,10454,367182,3349,ENSG00000186235.10,ENSG00000186235.10,0.209621381420911,0.259693913665708,0.289383886016564,0.0151756929850237,0.0436065955396602,0.543470332935088,22.0378476453085,5.990361971086989,11,10454,367182,3349,2,238231612,238231613
AC020571.3,0.299852258493924,0.526904957947939,0.178025947221655,0.900845257472466,10454,367182,3089,ENSG00000229056.2,ENSG00000229056.2,0.106569122015954,0.143096992897358,0.257128325936708,0.715480962390961,0.888786411610558,0.748338116444766,19.586040509304,3.7907976065278755,2,10454,367182,3089,2,196260023,196260024
AC024560.3,0.634688114517554,0.576037023197266,0.630711682077161,0.909500089662016,10454,367182,4480,ENSG00000214135.8,ENSG00000214135.8,0.393717681258592,0.614113048009356,0.618666665421082,0.001218572158895,0.004054940779068,0.456817418571696,17.8472415223371,4.187069967120034,7,10454,367182,4480,3,197627905,197627906
AC024704.2,0.978514560969573,0.881690045882464,0.375991595626535,0.306413544119786,10454,367182,2787,ENSG00000244063.1,ENSG00000244063.1,0.548122594095076,0.834560532336046,0.974447407482471,0.0033825925096932,0.0069774666379163,0.246775008711541,14.3383390166588,4.767892147085935,5,10454,367182,2787,2,113831047,113831048
AC073052.1,0.543009080649835,0.494161921654004,0.843798764161,0.448889067675201,10454,367182,3273,ENSG00000228446.2,ENSG00000228446.2,0.474059958991205,0.411517730874119,0.261032366387146,0.134041165222353,0.193673334031287,0.308263742297068,12.7843047792078,0.9479725989545603,3,10454,367182,3273,2,224500099,224500100
AC074011.2,0.534347883954482,0.523670692553256,0.525178563298186,0.530132493011957,10454,367182,2224,ENSG00000230730.1,ENSG00000230730.1,0.971932028138653,0.983479798306896,0.85785901303067,0.727492814616979,0.387441616683419,0.182770440438749,56.6688412558403,5.3743292159256395,8,10454,367182,2224,2,28664539,28664540
AC079325.5,0.878812751638487,0.811842959037677,0.750437101986828,0.777273505349143,10454,367182,16275,ENSG00000236770.1,ENSG00000236770.1,0.35941969732628,0.378942487291334,0.294088555761672,0.649108574740357,0.387746849389883,0.193894222947452,30.9784767872434,13.645844356399133,6,10454,367182,16275,17,74552736,74552737
AC079630.4,0.837534858565053,0.335821536637961,0.325999606977649,0.752390699462295,10454,367182,11711,ENSG00000225342.2,ENSG00000225342.2,0.0320283103337906,0.0744815082112075,0.439487852755742,0.140582694985209,0.299016923177663,0.622088279505306,13.1496012563291,2.471836734970985,3,10454,367182,11711,12,40224914,40224915
AC079922.3,0.200710896896868,0.423164216016327,0.115259876817182,0.193004138542107,10454,367182,2769,ENSG00000237753.1,ENSG00000237753.1,0.702465707423225,0.883203561934802,0.748871590159977,0.0050552542269125,0.0109854296342422,0.280882570774016,38.9573131089768,7.731253854476985,5,10454,367182,2769,2,112645689,112645690
AC091729.9,0.877696190487634,0.813671809484803,0.214927798836886,0.863779897563597,10454,367182,7087,ENSG00000229043.2,ENSG00000229043.2,0.22142725435151,0.230236681718289,0.229783656217486,0.16045810706888,0.256906835440872,0.387052521227888,99.7258399733181,3.340931923204784,7,10454,367182,7087,7,1160484,1160485
AC091814.2,0.478934961587169,0.492768549830744,0.20711327552683,0.20395882814916,10454,367182,11548,ENSG00000225231.1,ENSG00000225231.1,0.911381917932144,0.88285524735978,0.626533786740549,0.436054924345139,0.19348511023254,0.101713759541621,23.5591710482904,9.563027451563682,9,10454,367182,11548,12,9943494,9943495
AC093495.4,0.533598333018476,0.714182059432445,0.0778465034972985,0.497976209709192,10454,367182,3472,ENSG00000228242.6,ENSG00000228242.6,0.0348210080962988,0.0527959921524958,0.231951570548307,0.0759289177419391,0.0147008925897272,0.0214515058812993,15.5572043423349,2.4334834144081445,8,10454,367182,3472,3,14144636,14144637
AC093690.1,0.475743680384341,0.545120368592566,0.181779080417554,0.78873740429061,10454,367182,2218,ENSG00000223522.1,ENSG00000223522.1,0.0210657058970175,100,,0.445469500684384,,,13.1191972697692,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f0da78a29c0> [RTYPES.NILSXP],5,10454,367182,2218,2,28310458,28310459
AC093724.2,0.608433625844009,0.525826378186601,0.224547749330793,0.776943939409477,10454,367182,2859,ENSG00000213222.3,ENSG00000213222.3,0.403484554143879,0.107006743601079,0.0521277831496632,0.558845162565587,0.289313013156876,0.14361587411264,12.8487284808686,2.228680126634657,7,10454,367182,2859,2,131724278,131724279
AC104653.1,0.0129645476388929,0.283034864951514,0.112532368984924,0.0403033113419523,10454,367182,2788,ENSG00000228857.2,ENSG00000228857.2,0.0252882732682302,0.0540613524782289,0.36185808431896,0.124196072923699,0.2603633394926,0.566976947290428,12.6047498520498,3.0635481435313383,3,10454,367182,2788,2,113843355,113843356
AC109333.10,0.226345869129168,0.551683352372667,0.215334661202248,0.816030404781528,10454,367182,15332,ENSG00000227495.1,ENSG00000227495.1,0.0364758862472937,100,,0.37652422007383,,,19.9932690329879,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fb37e6c8940> [RTYPES.NILSXP],2,10454,367182,15332,17,5020092,5020093
AC114730.3,0.0817337073792772,0.424966066234592,0.00311887553353635,0.0181766266618739,10454,367182,3390,ENSG00000224272.2,ENSG00000224272.2,0.0176547903669737,0.036940163282249,0.325416665481965,0.0748230144215919,0.0016352845995737,0.0018853330691134,10.7554775423761,6.794549391302752,7,10454,367182,3390,2,241812015,241812016
AC114752.3,0.224842447992811,0.427390698690666,0.367829187396449,0.854281128435937,10454,367182,2408,ENSG00000238201.1,ENSG00000238201.1,0.16928313477347,0.248803044107763,0.344677820210617,0.0713093164596017,0.120267223677716,0.32134614354216,19.5385449507731,3.5284660292921695,3,10454,367182,2408,2,64341646,64341647
AC116366.6,0.216684658886257,0.632336328013585,0.168493413271007,0.854051034566943,10454,367182,5658,ENSG00000234290.2,ENSG00000234290.2,0.0780796954083944,0.155473668099521,0.431698490210517,0.876854469085324,0.896394377895055,0.659002608711742,22.2202091115922,3.049564188037293,4,10454,367182,5658,5,132473042,132473043
AC127904.2,0.0897490647201314,0.291518859020996,0.704614297211325,0.938039692287224,10454,367182,4471,ENSG00000230732.4,ENSG00000230732.4,0.891566176300021,0.676315486707737,0.382213071730239,0.0008168147014521,0.0035987146745372,0.820059349260063,15.4158292996043,2.1911581389511467,7,10454,367182,4471,3,196912645,196912646
AC130469.2,0.525976520291692,0.968451374155448,0.19186457018204,0.884393201405451,10454,367182,17083,ENSG00000267986.1,ENSG00000267986.1,0.160903072301248,0.369301193679689,0.870299095078998,0.506336469143896,0.0128228883593819,0.0040274309830968,13.413893577119,3.1398606910701177,5,10454,367182,17083,19,8581159,8581160
AC147651.4,0.694444194594793,0.688328984255187,0.245192782865654,0.172336025619543,10454,367182,7076,ENSG00000237181.1,ENSG00000237181.1,0.06184733529679,0.172484467469096,0.867293856542922,0.735866360297528,0.0902023786537168,0.0302047744481305,23.5917865624304,32.90426344825497,9,10454,367182,7076,7,603184,603185
ACACB,0.0659712014466185,0.306944147342872,0.612312891424961,0.81307340944802,10454,367182,12235,ENSG00000076555.15,ENSG00000076555.15,0.694201257390151,0.667460100406551,0.418703058249708,0.10026761510814,0.251560713787327,0.808300866141646,24.3805398744486,10.13783982652429,6,10454,367182,12235,12,109116594,109116595
ACAD8,0.25800749721591,0.870425932540119,0.950200367036571,0.703388219988426,10454,367182,11379,ENSG00000151498.11,ENSG00000151498.11,0.835899586430937,0.851028636499938,0.59689778679938,0.187843119429843,0.333898331460524,0.497911294093914,43.643792236312,7.455560677301426,3,10454,367182,11379,11,134253494,134253495
ACAD9,0.986169032448724,0.707462958018264,0.0866388204291109,0.127493496206439,10454,367182,4103,ENSG00000177646.18,ENSG00000177646.18,0.442528002549164,0.47344808215165,0.341259929491067,0.864447433268582,0.324250530865142,0.135939499336954,16.1228741285327,19.14607509045363,5,10454,367182,4103,3,128879595,128879596
ACADM,0.116581574960576,0.298929807860323,0.620124279759128,0.805863642981946,10454,367182,822,ENSG00000117054.13,ENSG00000117054.13,0.473888929694791,0.648523437060595,0.552291307482872,0.0211358731900277,0.0417661860280279,0.308803023828989,23.498582975972,8.774029773305925,4,10454,367182,822,1,75724346,75724347
