gene_name,chr.x,TSS.x,TES.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind.y,chr.y,TSS.y,TES.y
ABRACL,6,139028681,139028682,0.331777170037486,0.542673085190707,0.824991219922588,0.9542939086904,10454,367182,6927,ENSG00000146386.7,ENSG00000146386.7,0.0420460974258038,0.0769124074369147,0.318042711049838,0.100915118749754,0.107292563385834,0.182965328276754,26.2251634344771,4.586159657923883,6,10454,367182,6927,6,139028681,139028682
ABT1,6,26596951,26596952,0.64643266880306,0.773898484319056,0.168231081509391,0.32453432306693,10454,367182,6214,ENSG00000146109.4,ENSG00000146109.4,0.48556458318632,0.348489941980922,0.20282738815886,0.930059796902768,0.0222266912130407,0.0058199918864574,12.0672598610726,12.342708793777907,6,10454,367182,6214,6,26596951,26596952
ABTB2,11,34358007,34358008,0.338726461912103,0.444850562293994,0.84338748823608,0.815511099209406,10454,367182,10579,ENSG00000166016.5,ENSG00000166016.5,0.159468451463566,0.279056394722551,0.448875150619275,0.0078037846530011,0.0289333753532785,0.930668626538667,31.822129139167,3.265560883442434,5,10454,367182,10579,11,34358007,34358008
AC002456.2,7,90597352,90597353,0.461124456664152,0.124201795725834,0.105389783053376,0.0782179955902965,10454,367182,7539,ENSG00000223969.5,ENSG00000223969.5,0.472288656106167,0.767242135195261,0.908140784363926,0.573349647399881,0.810490893664354,0.748116365822024,14.7949680548535,8.450772151398054,5,10454,367182,7539,7,90597352,90597353
AC004951.5,7,43990206,43990207,0.615349609515194,0.252938795739228,0.413452175101842,0.599859155841478,10454,367182,7329,ENSG00000239556.3,ENSG00000239556.3,0.868995393001657,0.772775114387028,0.484682642798889,0.731197825994697,0.779677954287536,0.537745816567733,52.2853164036197,5.224808610781826,4,10454,367182,7329,7,43990206,43990207
AC004967.7,7,97972253,97972254,0.384133123478061,0.691786745709412,0.145556431029824,0.255029990497107,10454,367182,7574,ENSG00000243554.1,ENSG00000243554.1,0.959948688624811,0.304563485419338,0.123282433050396,0.0367826346375993,0.0078959067342105,0.0210533287053862,31.5926641170062,4.253296831597836,4,10454,367182,7574,7,97972253,97972254
AC004980.7,7,76549359,76549360,0.26363443458928,0.826716497762559,0.768095543503698,0.782196237917165,10454,367182,7499,ENSG00000205485.13,ENSG00000205485.13,0.723972145166636,0.90576751554098,0.786691901424957,0.91994905078833,0.343261733850554,0.144589597278477,23.9875103796679,3.066726427096899,2,10454,367182,7499,7,76549359,76549360
AC004985.12,7,43973322,43973323,0.255728289498408,0.973991535878547,0.896833977747136,0.732700080003022,10454,367182,7328,ENSG00000241057.2,ENSG00000241057.2,0.682887625818696,0.133470136238339,0.0494301456885495,0.604089359047259,0.874190632056697,0.994837974188228,18.3016849177815,4.747176880314012,5,10454,367182,7328,7,43973322,43973323
AC005154.6,7,30585971,30585972,0.255407556477081,0.705536126866999,0.933419349364129,0.705648601222795,10454,367182,7251,ENSG00000196295.11,ENSG00000196295.11,0.734510987859081,0.940393709680735,0.929137568430314,0.627485467691102,0.721937573929369,0.51886597274477,119.536700227977,13.090961912657152,3,10454,367182,7251,7,30585971,30585972
AC005154.7,7,30524534,30524535,0.214212952266604,0.699574849891673,0.849372678608612,0.828220174805314,10454,367182,7248,ENSG00000244480.1,ENSG00000244480.1,0.865609442654084,0.734264768849173,0.442766241031426,0.748052467076276,0.690596935384217,0.424718436369081,21.5431427765293,3.7653129275686936,2,10454,367182,7248,7,30524534,30524535
AC005154.8,7,30544052,30544053,0.211423904178524,0.684915670514506,0.662830401118154,0.755815688296828,10454,367182,7249,ENSG00000226874.1,ENSG00000226874.1,0.972858375204616,0.873489637683978,0.603769749008469,0.672329264910096,0.795091542228686,0.596893758687882,175.272506789013,36.17182388194326,2,10454,367182,7249,7,30544052,30544053
AC005363.9,16,1964094,1964095,0.582213680881962,0.436388907940799,0.72134162030947,0.200972336103687,10454,367182,14298,ENSG00000255513.1,ENSG00000255513.1,0.627612127098843,0.777581656558914,0.604798672445923,0.481379902617438,0.766038871812572,0.846835652330101,17.689189503608,3.6416908201205187,9,10454,367182,14298,16,1964094,1964095
AC006369.2,2,37600135,37600136,0.279963223549062,0.741650220190835,0.0635385358679489,0.925729626821709,10454,367182,2271,ENSG00000236213.1,ENSG00000236213.1,0.0631242123972153,0.152246948751885,0.576873542659679,0.515395449690754,0.805258129652149,0.919996643731286,59.0655788511624,4.5187213727791935,2,10454,367182,2271,2,37600135,37600136
AC006942.4,19,49808932,49808933,0.259152471044837,0.161387392890188,0.0496027018703045,0.0819072196991237,10454,367182,17996,ENSG00000269194.1,ENSG00000269194.1,0.409496152634272,0.688905049140524,0.798654933985303,0.69135678299303,0.871789632602632,0.732538204570364,23.1026331984004,3.7863330945302134,2,10454,367182,17996,19,49808932,49808933
AC006978.6,7,30371507,30371508,0.218111293592352,0.227381626492303,0.653953599681173,0.23565810273986,10454,367182,7244,ENSG00000235859.5,ENSG00000235859.5,0.638301818321451,0.490040249639078,0.272221512379881,0.295249415153946,0.262622611448949,0.208970421922198,11.5603673005335,12.049423882436905,2,10454,367182,7244,7,30371507,30371508
AC007246.3,2,39436636,39436637,0.760427886415528,0.781426584440362,0.480970003724625,0.843448964959638,10454,367182,2291,ENSG00000231312.6,ENSG00000231312.6,0.714159723676051,0.292551409577098,0.127394730243423,0.294374456573977,0.0689182819982157,0.0392467040960024,12.5018202518752,2.8869130414094912,2,10454,367182,2291,2,39436636,39436637
AC007278.3,2,102438712,102438713,0.166449185475841,0.914697021258239,0.773874571947486,0.462653832963123,10454,367182,2719,ENSG00000234389.1,ENSG00000234389.1,0.372111739941846,0.222498912724257,0.137207750966547,0.341095542213494,0.0836633809148845,0.04402522478198,28.6221993272141,10.857024365217187,11,10454,367182,2719,2,102438712,102438713
AC007773.2,19,32405541,32405542,0.254248050090426,0.813037234033004,0.568186792232854,0.970886015498862,10454,367182,17482,ENSG00000267213.4,ENSG00000267213.4,0.894816874878285,100,,0.332425885711234,,,13.6528493991224,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f142e8d7640> [RTYPES.NILSXP],2,10454,367182,17482,19,32405541,32405542
AC007879.2,2,207236065,207236066,0.729523806612589,0.500277511325129,0.797534647537811,0.717752031055009,10454,367182,3166,ENSG00000234902.6,ENSG00000234902.6,0.432570839235615,0.695347691760733,0.739235533010846,0.0337232990101177,0.0997127572916471,0.749144340379139,10.6501877568298,3.741806974644328,3,10454,367182,3166,2,207236065,207236066
AC008592.3,5,95835045,95835046,0.577604721469732,0.583783301857416,0.935017905850545,0.0623377270240911,10454,367182,5539,ENSG00000251000.1,ENSG00000251000.1,0.655815502491937,0.657653233945891,0.423896518142575,0.986523971497778,0.802021010504258,0.506661849254897,12.1211435889623,9.308077300740404,11,10454,367182,5539,5,95835045,95835046
AC008746.12,19,54439543,54439544,0.0198523820904449,0.663050934974271,0.970988649538403,0.444573113209118,10454,367182,18157,ENSG00000267838.2,ENSG00000267838.2,0.934318534576477,0.530088001413217,0.261164701699741,0.366639885586013,0.530303171014423,0.500634026092653,24.9236753715546,7.616828606641146,9,10454,367182,18157,19,54439543,54439544
AC009303.2,2,118014173,118014174,0.21837544209739,0.67405506119281,0.600573227946457,0.983237599898225,10454,367182,2799,ENSG00000279227.1,ENSG00000279227.1,0.0671227501513511,0.157233937457959,0.555151719021829,0.921016377404641,0.390378227037207,0.17130973774975,11.6426118193434,5.129913611919284,6,10454,367182,2799,2,118014173,118014174
AC009495.2,2,165794850,165794851,0.118429756552404,0.753369766252083,0.764369515426802,0.97929879678578,10454,367182,2952,ENSG00000235192.1,ENSG00000235192.1,0.887352307394243,0.822837573374711,0.543053351444808,0.965913725886421,0.618357807814602,0.327300648455341,10.8022703895312,3.761223559591721,3,10454,367182,2952,2,165794850,165794851
AC009506.1,2,159615295,159615296,0.718688174539379,0.552283225269449,0.256307807505265,0.966513169453513,10454,367182,2929,ENSG00000224152.1,ENSG00000224152.1,0.523873297264229,0.404387112554532,0.235978853339176,0.571307429554914,0.215391720526275,0.0972489066796005,38.4360818604866,4.774345332395069,3,10454,367182,2929,2,159615295,159615296
AC009961.3,2,159712434,159712435,0.997174178754178,0.275276426754315,0.162598648461722,0.210700360312906,10454,367182,2931,ENSG00000226266.6,ENSG00000226266.6,0.0793437914936222,0.147542340350017,0.386761559706237,0.349532283722934,0.478206491899574,0.438474556128056,55.0613886029829,28.773196080122585,3,10454,367182,2931,2,159712434,159712435
AC010492.2,19,54229035,54229036,0.420099384790251,0.311091585557564,0.65732186125665,0.305377033428376,10454,367182,18148,ENSG00000235081.1,ENSG00000235081.1,0.821785639511176,0.333936078524892,0.143242649224739,0.360509456206356,0.014470865111191,0.0057242929981035,16.6924867501331,5.561093227777962,3,10454,367182,18148,19,54229035,54229036
AC010883.5,2,43229572,43229573,0.202216239117178,0.27334369286464,0.398664866712004,0.75743942809544,10454,367182,2309,ENSG00000234936.1,ENSG00000234936.1,0.306550825017966,0.509557562272506,0.582018778164225,0.243882732018631,0.192179454953757,0.163598956209719,10.566318978634,2.9630886102693124,3,10454,367182,2309,2,43229572,43229573
AC011380.8,5,140594569,140594570,0.868786130353813,0.668513148097172,0.357668620438702,0.708038083028579,10454,367182,5759,ENSG00000283602.1,ENSG00000283602.1,0.125772717239404,0.21956782407062,0.406726993966111,0.814082699395326,0.687387646172827,0.404667888686465,40.9613239173503,9.514907307745828,4,10454,367182,5759,5,140594569,140594570
AC011899.9,7,157854528,157854529,0.558562146100464,0.13949355635614,0.0822478151747078,0.243591480258124,10454,367182,8068,ENSG00000233038.5,ENSG00000233038.5,0.0942444625439915,0.211494328838179,0.579591255546129,0.139617951543965,0.282635466459457,0.556938794054118,33.1537396068869,3.372420031202567,2,10454,367182,8068,7,157854528,157854529
AC012146.7,17,5111467,5111468,0.192599333216972,0.167516238377755,0.256547888643337,0.162575007242789,10454,367182,15334,ENSG00000234327.7,ENSG00000234327.7,0.184276871357336,100,,0.0129848399227935,,,13.6720645888352,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fb37e6c8940> [RTYPES.NILSXP],3,10454,367182,15334,17,5111467,5111468
AC012442.5,2,112614212,112614213,0.649020161332208,0.601566148367339,0.87568141415731,0.585937887189238,10454,367182,2768,ENSG00000243389.1,ENSG00000243389.1,0.891214592221714,0.503866539574733,0.244908088556452,0.03109876097145,0.0957334603597598,0.832227628061204,10.9404416478417,3.148298130329627,5,10454,367182,2768,2,112614212,112614213
AC012454.4,2,85687046,85687047,0.822202906125069,0.922561976453483,0.615254307271699,0.370818812026051,10454,367182,2550,ENSG00000203363.2,ENSG00000203363.2,0.664603325490313,0.787899353671729,0.591000069137521,0.477120149011628,0.482949188162909,0.329656061306009,25.6373809080499,7.368374814395213,10,10454,367182,2550,2,85687046,85687047
AC013264.2,2,197197990,197197991,0.0118513115446425,0.0576795235931897,0.324504172001116,0.242153200992308,10454,367182,3095,ENSG00000231621.1,ENSG00000231621.1,0.920256526707848,100,,0.0282462394902943,,,11.588986690478,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fb48d06a900> [RTYPES.NILSXP],4,10454,367182,3095,2,197197990,197197991
AC015849.2,17,35868966,35868967,0.541862216047608,0.73068316423287,0.668621417473506,0.817899607073915,10454,367182,15743,ENSG00000270240.2,ENSG00000270240.2,0.362574473712302,0.654628538176894,0.891934605206751,0.741443675244116,0.48067781942157,0.244188000645755,19.2647829142713,10.220289014965326,2,10454,367182,15743,17,35868966,35868967
AC016747.3,2,61144968,61144969,0.435521759525436,0.602679729140332,0.783567920960768,0.839246407600218,10454,367182,2383,ENSG00000212978.6,ENSG00000212978.6,0.475892812666139,100,,0.857212384166467,,,30.0778826908458,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fbf09594840> [RTYPES.NILSXP],3,10454,367182,2383,2,61144968,61144969
AC016757.3,2,238231612,238231613,0.759686687943275,0.116841450573352,0.0856914401734484,0.52092966058442,10454,367182,3349,ENSG00000186235.10,ENSG00000186235.10,0.209621381420911,0.259693913665708,0.289383886016564,0.0151756929850237,0.0436065955396602,0.543470332935088,22.0378476453085,5.990361971086989,11,10454,367182,3349,2,238231612,238231613
AC020571.3,2,196260023,196260024,0.299852258493924,0.205040924586029,0.122525290276439,0.251142279325123,10454,367182,3089,ENSG00000229056.2,ENSG00000229056.2,0.106569122015954,0.143096992897358,0.257128325936708,0.715480962390961,0.888786411610558,0.748338116444766,19.586040509304,3.7907976065278755,2,10454,367182,3089,2,196260023,196260024
AC024560.3,3,197627905,197627906,0.634688114517554,0.529059475974188,0.444140366042238,0.801699669492057,10454,367182,4480,ENSG00000214135.8,ENSG00000214135.8,0.393717681258592,0.614113048009356,0.618666665421082,0.001218572158895,0.004054940779068,0.456817418571696,17.8472415223371,4.187069967120034,7,10454,367182,4480,3,197627905,197627906
AC024704.2,2,113831047,113831048,0.978514560969573,0.0984959631523218,0.872021614081732,0.363937849398413,10454,367182,2787,ENSG00000244063.1,ENSG00000244063.1,0.548122594095076,0.834560532336046,0.974447407482471,0.0033825925096932,0.0069774666379163,0.246775008711541,14.3383390166588,4.767892147085935,5,10454,367182,2787,2,113831047,113831048
AC073052.1,2,224500099,224500100,0.543009080649835,0.227900024728118,0.958207687357853,0.283579564631016,10454,367182,3273,ENSG00000228446.2,ENSG00000228446.2,0.474059958991205,0.411517730874119,0.261032366387146,0.134041165222353,0.193673334031287,0.308263742297068,12.7843047792078,0.9479725989545603,3,10454,367182,3273,2,224500099,224500100
AC074011.2,2,28664539,28664540,0.534347883954482,0.321325270957907,0.730544482472091,0.494248665186874,10454,367182,2224,ENSG00000230730.1,ENSG00000230730.1,0.971932028138653,0.983479798306896,0.85785901303067,0.727492814616979,0.387441616683419,0.182770440438749,56.6688412558403,5.3743292159256395,8,10454,367182,2224,2,28664539,28664540
AC079325.5,17,74552736,74552737,0.878812751638487,0.606647067886351,0.888040668692281,0.479408607202372,10454,367182,16275,ENSG00000236770.1,ENSG00000236770.1,0.35941969732628,0.378942487291334,0.294088555761672,0.649108574740357,0.387746849389883,0.193894222947452,30.9784767872434,13.645844356399133,6,10454,367182,16275,17,74552736,74552737
AC079630.4,12,40224914,40224915,0.837534858565053,0.502002681542761,0.318731686565461,0.222250680839027,10454,367182,11711,ENSG00000225342.2,ENSG00000225342.2,0.0320283103337906,0.0744815082112075,0.439487852755742,0.140582694985209,0.299016923177663,0.622088279505306,13.1496012563291,2.471836734970985,3,10454,367182,11711,12,40224914,40224915
AC079922.3,2,112645689,112645690,0.200710896896868,0.535933843687606,0.114598461343225,0.0585347622566441,10454,367182,2769,ENSG00000237753.1,ENSG00000237753.1,0.702465707423225,0.883203561934802,0.748871590159977,0.0050552542269125,0.0109854296342422,0.280882570774016,38.9573131089768,7.731253854476985,5,10454,367182,2769,2,112645689,112645690
AC091729.9,7,1160484,1160485,0.877696190487634,0.331877295959299,0.104286077814104,0.430884861565349,10454,367182,7087,ENSG00000229043.2,ENSG00000229043.2,0.22142725435151,0.230236681718289,0.229783656217486,0.16045810706888,0.256906835440872,0.387052521227888,99.7258399733181,3.340931923204784,7,10454,367182,7087,7,1160484,1160485
AC091814.2,12,9943494,9943495,0.478934961587169,0.395050934131626,0.431541702207073,0.0915570903539277,10454,367182,11548,ENSG00000225231.1,ENSG00000225231.1,0.911381917932144,0.88285524735978,0.626533786740549,0.436054924345139,0.19348511023254,0.101713759541621,23.5591710482904,9.563027451563682,9,10454,367182,11548,12,9943494,9943495
AC093495.4,3,14144636,14144637,0.533598333018476,0.0848091202226582,0.561211166443766,0.0370523618507609,10454,367182,3472,ENSG00000228242.6,ENSG00000228242.6,0.0348210080962988,0.0527959921524958,0.231951570548307,0.0759289177419391,0.0147008925897272,0.0214515058812993,15.5572043423349,2.4334834144081445,8,10454,367182,3472,3,14144636,14144637
AC093690.1,2,28310458,28310459,0.475743680384341,0.365053275934019,0.36134410563276,0.0828969969216149,10454,367182,2218,ENSG00000223522.1,ENSG00000223522.1,0.0210657058970175,100,,0.445469500684384,,,13.1191972697692,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f0da78a29c0> [RTYPES.NILSXP],5,10454,367182,2218,2,28310458,28310459
AC093724.2,2,131724278,131724279,0.608433625844009,0.476640814755921,0.0392686960224893,0.932086110663708,10454,367182,2859,ENSG00000213222.3,ENSG00000213222.3,0.403484554143879,0.107006743601079,0.0521277831496632,0.558845162565587,0.289313013156876,0.14361587411264,12.8487284808686,2.228680126634657,7,10454,367182,2859,2,131724278,131724279
AC104653.1,2,113843355,113843356,0.0129645476388929,0.0475573386809418,0.453599310925421,0.204163351369461,10454,367182,2788,ENSG00000228857.2,ENSG00000228857.2,0.0252882732682302,0.0540613524782289,0.36185808431896,0.124196072923699,0.2603633394926,0.566976947290428,12.6047498520498,3.0635481435313383,3,10454,367182,2788,2,113843355,113843356
AC109333.10,17,5020092,5020093,0.226345869129168,0.124822318638086,0.161763934723676,0.641628943596578,10454,367182,15332,ENSG00000227495.1,ENSG00000227495.1,0.0364758862472937,100,,0.37652422007383,,,19.9932690329879,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fb37e6c8940> [RTYPES.NILSXP],2,10454,367182,15332,17,5020092,5020093
AC114730.3,2,241812015,241812016,0.0817337073792772,0.280135222350736,0.159477514304198,0.00104874100050811,10454,367182,3390,ENSG00000224272.2,ENSG00000224272.2,0.0176547903669737,0.036940163282249,0.325416665481965,0.0748230144215919,0.0016352845995737,0.0018853330691134,10.7554775423761,6.794549391302752,7,10454,367182,3390,2,241812015,241812016
AC114752.3,2,64341646,64341647,0.224842447992811,0.3297300055801,0.225322269545515,0.631519210276383,10454,367182,2408,ENSG00000238201.1,ENSG00000238201.1,0.16928313477347,0.248803044107763,0.344677820210617,0.0713093164596017,0.120267223677716,0.32134614354216,19.5385449507731,3.5284660292921695,3,10454,367182,2408,2,64341646,64341647
AC116366.6,5,132473042,132473043,0.216684658886257,0.170446139335895,0.11940240160405,0.266242517482424,10454,367182,5658,ENSG00000234290.2,ENSG00000234290.2,0.0780796954083944,0.155473668099521,0.431698490210517,0.876854469085324,0.896394377895055,0.659002608711742,22.2202091115922,3.049564188037293,4,10454,367182,5658,5,132473042,132473043
AC127904.2,3,196912645,196912646,0.0897490647201314,0.51437764325221,0.896070637645336,0.294851458924133,10454,367182,4471,ENSG00000230732.4,ENSG00000230732.4,0.891566176300021,0.676315486707737,0.382213071730239,0.0008168147014521,0.0035987146745372,0.820059349260063,15.4158292996043,2.1911581389511467,7,10454,367182,4471,3,196912645,196912646
AC130469.2,19,8581159,8581160,0.525976520291692,0.183247250087126,0.716206313111599,0.0856599134143952,10454,367182,17083,ENSG00000267986.1,ENSG00000267986.1,0.160903072301248,0.369301193679689,0.870299095078998,0.506336469143896,0.0128228883593819,0.0040274309830968,13.413893577119,3.1398606910701177,5,10454,367182,17083,19,8581159,8581160
