gene_name,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps_original,num_snps_common,adsp_size.y,ukb_size.y,gene_ind.y,chr,TSS,TES
ABCC13,0.441555993156485,0.505559578793938,0.992306412534265,0.867299746165116,10454,367182,7082,ENSG00000243064.8,ENSG00000243064.8,0.48539554991659,0.725288502544634,0.693174165805774,0.907323547631282,0.0148631759805493,0.00374360626600873,0.119179126690094,0.0211421726378642,3458,1548,10454,367182,7081,21,14236205,14236206
ABCC2,0.913173925444091,0.779747153147377,0.742891507013605,0.8040844713891,10454,367182,144,ENSG00000023839.10,ENSG00000023839.10,0.506737955886896,0.168335223191705,0.0772101580388627,0.258435636016203,0.457854145799586,0.593252897754763,0.0169302811188236,0.000571234074312872,1924,1026,10454,367182,143,10,99782731,99782732
ABCC3,0.35174372926031,0.39553252300649,0.938500894466703,0.915185352125911,10454,367182,1341,ENSG00000108846.15,ENSG00000108846.15,0.381581889098336,0.674974534179891,0.885882378946472,0.037199268465632,0.0589974335748719,0.250724635345292,0.324110587926844,0.00121244080704462,1734,846,10454,367182,1340,17,50634776,50634777
ABCC4,0.601256457465856,0.50928345251801,0.638244905448478,0.738002237634941,10454,367182,2027,ENSG00000125257.13,ENSG00000125257.13,0.50696640335284,0.793767091139534,0.883083649861811,0.531543960477936,0.625869187651152,0.460043610234195,0.107324205745464,0.00043447943201906,2730,1403,10454,367182,2026,13,95301445,95301446
ABCC5,0.0921794826884995,0.744511137385097,0.4157916049903,0.558400423550543,10454,367182,1591,ENSG00000114770.16,ENSG00000114770.16,0.0659827562794495,100,100,0.277184274547107,100,100,0.325108594681948,0.00153644584520249,2127,1170,10454,367182,1590,3,184018014,184018015
ABCC6,0.128659800972527,0.349603588783137,0.685387861214317,0.725259732676325,10454,367182,706,ENSG00000091262.15,ENSG00000091262.15,0.464421349141132,0.220317765015205,0.114567553101994,0.582917921464278,0.0750161501719739,0.0271923520590456,0.0691830380983209,0.00652628860304057,1689,819,10454,367182,705,16,16223521,16223522
ABCD3,0.695090943104467,0.589227834897964,0.150245828927499,0.169802500441046,10454,367182,1734,ENSG00000117528.11,ENSG00000117528.11,0.626680441982232,100,100,0.623028188085201,100,100,0.0501275915351435,0.0029294951525784,2044,1254,10454,367182,1733,1,94418454,94418455
ABCF1,0.917926691301348,0.890256105339845,0.789275033992763,0.850880357218017,10454,367182,6005,ENSG00000204574.12,ENSG00000204574.12,0.852770105710874,0.536743347292175,0.271337590574399,0.081368659603057,0.173486538710182,0.494849680425579,0.0225391671179276,0.00539591181563805,4062,2204,10454,367182,6004,6,30571375,30571376
ABCF2,0.429582241785594,0.56872519462419,0.476082447625914,0.916348705639109,10454,367182,172,ENSG00000033050.7,ENSG00000033050.7,0.560223699195363,0.574395194916533,0.380360131352823,0.254872688656746,0.492968022948552,0.730964260137435,0.120447142228686,0.00564558893424612,2333,1212,10454,367182,171,7,151227229,151227230
ABCF3,0.898859890389733,0.588165501660222,0.783519977998742,0.906492638532111,10454,367182,3810,ENSG00000161204.11,ENSG00000161204.11,0.667101798125642,100,100,0.135374242027001,100,100,0.0544871269369304,0.00046088413169694,2182,1165,10454,367182,3809,3,184186022,184186023
ABCG2,0.195656398018375,0.387405728437578,0.598242348675132,0.897514736746968,10454,367182,1771,ENSG00000118777.10,ENSG00000118777.10,0.466107977784664,100,100,0.378358173873482,100,100,0.0770636799084203,0.00095311779125093,2089,889,10454,367182,1770,4,88231321,88231322
ABHD10,0.656497891209669,0.574528875282672,0.731130032269545,0.858445264381199,10454,367182,3147,ENSG00000144827.8,ENSG00000144827.8,0.0308195753171309,0.0165248422052698,0.059802625254877,0.0601465279627919,0.133234092015429,0.480397952497153,0.0740205898812429,0.00068423788092446,2630,1410,10454,367182,3146,3,111979009,111979010
ABHD11,0.750653697147023,0.647075345162178,0.919519878451595,0.931145940187318,10454,367182,1207,ENSG00000106077.18,ENSG00000106077.18,0.893522122600691,0.582772948713602,0.302770904594083,0.0461597875773574,0.110635529950495,0.513327134959334,0.409210307249399,0.0135264348307891,1236,530,10454,367182,1206,7,73738866,73738867
ABHD11-AS1,0.760051759287153,0.625140483089541,0.849876465699828,0.818339109204707,10454,367182,6510,ENSG00000225969.1,ENSG00000225969.1,0.921381117207362,0.876844998154184,0.614902142392086,0.0611643784494911,0.173284127458439,0.991151121871918,0.404204205798358,0.104451498678827,1234,530,10454,367182,6509,7,73735037,73735038
ABHD14B,0.0727402118744502,0.394640364592335,0.343730099356694,0.991271994814161,10454,367182,1592,ENSG00000114779.19,ENSG00000114779.19,0.981452706997919,100,100,0.821379172954378,100,100,0.0345982075603414,0.000132077509271729,702,261,10454,367182,1591,3,51983276,51983277
ABHD15,0.367355915014374,0.483177290658835,0.89913909700719,0.72350874491282,10454,367182,4433,ENSG00000168792.4,ENSG00000168792.4,0.356406358482599,100,100,0.0536774845429176,100,100,0.0331027977572378,0.000348142085392646,1053,577,10454,367182,4432,17,29567136,29567137
ABHD17AP5,0.0166507631641025,0.0468317969423648,0.391066312383188,0.939471185393654,10454,367182,7706,ENSG00000263366.2,ENSG00000263366.2,0.60231424252793,0.779048761651139,0.633125764041076,0.155566772314677,0.12506707533417,0.143407367729392,0.0273088474563033,0.000296047508186107,3032,1019,10454,367182,7705,22,22118004,22118005
ABHD17AP6,0.134683562966801,0.412302858077724,0.176797065195431,0.277694776336227,10454,367182,6558,ENSG00000226981.2,ENSG00000226981.2,0.705972965520979,0.337212339171857,0.154052075025986,0.521656964134673,0.132897756995255,0.0568926110460509,0.0588165063730113,0.0181707059405015,1464,612,10454,367182,6557,17,20814619,20814620
ABHD17C,0.143767926447604,0.610120897596929,0.62152234648478,0.427592061844698,10454,367182,2631,ENSG00000136379.11,ENSG00000136379.11,0.00292999002711825,0.00683481515405467,0.289646951890489,0.239588245884414,0.332603372968268,0.365591308667615,0.0613462299961539,0.000243903590991326,2287,1108,10454,367182,2630,15,80679683,80679684
ABHD2,0.860499926244815,0.658690854487037,0.735076503790159,0.545237123695015,10454,367182,2900,ENSG00000140526.17,ENSG00000140526.17,0.485602331544086,0.447380129786355,0.289400717469448,0.11401988847553,0.239042607678142,0.545946488635103,0.0747964698649629,0.00786941954277578,2243,978,10454,367182,2899,15,89087458,89087459
ABHD4,0.820286450392651,0.616395240615405,0.928687044088603,0.752782141662825,10454,367182,875,ENSG00000100439.10,ENSG00000100439.10,0.372288349023779,100,100,0.139466227647206,100,100,0.0285640929014976,0.00609545571631864,3050,1201,10454,367182,874,14,22600118,22600119
ABI1,0.849853604877916,0.550635383288879,0.830271833508281,0.893950731195574,10454,367182,2651,ENSG00000136754.16,ENSG00000136754.16,0.00489336107576112,100,100,0.97149617120893,100,100,0.0456570837258103,0.00125984657989875,2856,1354,10454,367182,2650,10,26861086,26861087
ABL2,0.0711382866190367,0.326370585686051,0.980119683611189,0.66585589765057,10454,367182,3056,ENSG00000143322.19,ENSG00000143322.19,0.0391967623424284,100,100,0.320989543727644,100,100,0.11888238572969,0.0010323932828646,2714,1510,10454,367182,3055,1,179229683,179229684
ABO,0.633637821111164,0.707091024166046,0.150547648160745,0.965772128357684,10454,367182,4840,ENSG00000175164.13,ENSG00000175164.13,0.0454057351114804,0.135097374918979,0.988577274432194,0.781422642793819,0.54995649663327,0.290167583490661,0.537675583634323,0.207091793677866,2832,1164,10454,367182,4839,9,133275213,133275214
ABR,0.15676951889023,0.386479528718552,0.564179198560647,0.395001847709794,10454,367182,3721,ENSG00000159842.14,ENSG00000159842.14,0.236361757325197,0.192139204523316,0.168427550777528,0.145274941469075,0.108947513556301,0.128329100364456,0.0437417663178941,0.000446951493638625,3008,1305,10454,367182,3720,17,1229020,1229021
ABRACL,0.544838344495388,0.550633287685801,0.418696600512502,0.453213013793876,10454,367182,3215,ENSG00000146386.7,ENSG00000146386.7,0.519213293864999,0.634036391060346,0.481334482918852,0.114555944675958,0.247256496753381,0.581109590681425,0.38786416270875,0.0152199196638214,2196,987,10454,367182,3214,6,139028681,139028682
ABT1,0.734182657590846,0.617715510217136,0.607707944627882,0.0662944176890118,10454,367182,3204,ENSG00000146109.4,ENSG00000146109.4,0.797313740340208,0.622049683245488,0.347252392324188,0.799864605894125,0.693252355471942,0.413593229581839,0.073804936697418,0.0705668666644232,2067,1071,10454,367182,3203,6,26596951,26596952
ABTB1,0.0800146948644546,0.621946827010326,0.686971797174746,0.563322856259435,10454,367182,1584,ENSG00000114626.17,ENSG00000114626.17,0.065255156464241,0.151965362497556,0.543093894808785,0.234629606984348,0.295456801556255,0.311125459971033,0.0366611273899214,0.00070115240230036,1995,1030,10454,367182,1583,3,127672934,127672935
ABTB2,0.238502667022129,0.596557021100733,0.656170625379447,0.91404263337828,10454,367182,4184,ENSG00000166016.5,ENSG00000166016.5,0.217499133427094,100,100,0.00240792417023068,100,100,0.227558122213063,0.00029198749341415,2574,1328,10454,367182,4183,11,34358007,34358008
AC000078.5,0.752448457587455,0.572515588320784,0.263638654939779,0.691140298384556,10454,367182,6765,ENSG00000232926.1,ENSG00000232926.1,0.21429080718526,0.318546570367275,0.387805283520068,0.782638621428514,0.728559207975783,0.455365866027604,0.0513588752560909,0.00478731692102163,2359,1146,10454,367182,6764,22,19887288,19887289
AC002059.10,0.677505553938998,0.560836703445311,0.952831610183684,0.994490136526946,10454,367182,8048,ENSG00000273216.1,ENSG00000273216.1,0.555553560034211,100,100,0.0317555854074658,100,100,0.0103313830436565,7.39802523214221e-05,1739,838,10454,367182,8047,22,29317219,29317220
AC002456.2,0.308460986643443,0.464861133594992,0.759547748611498,0.766567054850288,10454,367182,6433,ENSG00000223969.5,ENSG00000223969.5,0.746800205702739,0.242135865326278,0.0983469720898007,0.745699124924932,0.259440694031212,0.107318544550035,0.0916869193113122,0.0606790648753487,2192,1299,10454,367182,6432,7,90597352,90597353
AC002467.7,0.139762466929202,0.223760931409491,0.116421141729034,0.159674315226041,10454,367182,7045,ENSG00000241764.3,ENSG00000241764.3,0.686429237872829,100,100,0.0395918787974738,100,100,0.125027636924228,0.00157185810353138,1755,882,10454,367182,7044,7,107744435,107744436
AC002511.2,0.158115457107297,0.560175587620392,0.303905530416886,0.0857136325706168,10454,367182,6776,ENSG00000233214.1,ENSG00000233214.1,0.162918017944863,100,100,0.0580692716181081,100,100,0.106903204670779,0.0082350327434081,2359,1254,10454,367182,6775,19,35424651,35424652
AC004057.1,0.994476039043299,0.52992554771843,0.481957282966111,0.851565349139127,10454,367182,5693,ENSG00000196656.7,ENSG00000196656.7,0.141830625700055,0.297300400887148,0.604588695490481,0.976302933778637,0.995181237370085,0.925352645630344,0.0407290473315476,0.00321863429259002,1857,841,10454,367182,5692,4,113217169,113217170
AC004076.5,0.159611702109663,0.917525098799255,0.12897208530069,0.795252290596424,10454,367182,8149,ENSG00000276449.1,ENSG00000276449.1,0.0666293119058236,100,100,0.00936825857856659,100,100,0.0448375587365899,0.00137387455595773,2422,1263,10454,367182,8148,19,57449688,57449689
AC004540.5,0.842274282124234,0.764264909951626,0.0472194422280973,0.617383377075109,10454,367182,6313,ENSG00000214870.8,ENSG00000214870.8,0.0204064543001071,0.067788111355039,0.93719279295391,0.357385512534007,0.640560750972766,0.834292972882085,0.0786250073986964,0.0356334594944114,2146,1052,10454,367182,6312,7,26398592,26398593
AC004951.5,0.03120560666119,0.134824220945996,0.141129243903573,0.263837061528586,10454,367182,6982,ENSG00000239556.3,ENSG00000239556.3,0.652378220932816,0.799941037103906,0.621676947342631,0.574013349536493,0.213711475344333,0.0960317563355082,0.277901876078358,0.0315028950149561,2013,1283,10454,367182,6981,7,43990206,43990207
AC004967.7,0.416622507059656,0.999999672637474,0.631110392459304,0.590669842579071,10454,367182,7101,ENSG00000243554.1,ENSG00000243554.1,0.826948805545337,0.970462865835765,0.912147288222159,0.0223151330767442,0.0303654631748267,0.183647371288397,0.171844297270044,0.00348962888770626,2406,1081,10454,367182,7100,7,97972253,97972254
AC004980.7,0.824933402526582,0.734113790674931,0.741710130129648,0.5670539940807,10454,367182,6059,ENSG00000205485.13,ENSG00000205485.13,0.762143393994547,100,100,0.229948788673987,100,100,0.0876195818660478,0.000772344834270868,1747,651,10454,367182,6058,7,76549359,76549360
AC004985.12,0.997192596367435,0.545695417664854,0.143790605076383,0.321010466918466,10454,367182,7026,ENSG00000241057.2,ENSG00000241057.2,0.373468732802417,100,100,0.490393031930869,100,100,0.0930841645408844,0.000827759867946298,2021,1284,10454,367182,7025,7,43973322,43973323
AC005082.12,0.825306006982226,0.728377554962474,0.702795939166864,0.582755484527615,10454,367182,6548,ENSG00000226816.2,ENSG00000226816.2,0.836834267847333,0.700646440403234,0.413379298488652,0.054789676414117,0.0961972998904369,0.31870919609555,0.20294390146768,0.133211330706832,1980,967,10454,367182,6547,7,23206012,23206013
AC005154.6,0.281971502939885,0.42193392263571,0.947889112542722,0.911107503873558,10454,367182,5651,ENSG00000196295.11,ENSG00000196295.11,0.923899546061593,0.994769933626415,0.970546058850889,0.847138183084934,0.977148954061445,0.924119972118825,0.504347195656739,0.00413184276814228,1708,702,10454,367182,5650,7,30585971,30585972
AC005154.7,0.364081227305769,0.444599146486037,0.838234032544611,0.761128073609055,10454,367182,7134,ENSG00000244480.1,ENSG00000244480.1,0.496024721915758,0.657525092024986,0.540227827342666,0.187276482814945,0.277329855930026,0.36337871926674,0.082645739610668,0.000846132584822477,1687,719,10454,367182,7133,7,30524534,30524535
AC005154.8,0.35445576229563,0.947045848508774,0.810540752101901,0.862351574423294,10454,367182,6553,ENSG00000226874.1,ENSG00000226874.1,0.797222079947235,0.864881621287302,0.635784746293009,0.440389107099438,0.487174861541176,0.358541400723841,0.42879393953762,0.0643378533113561,1699,716,10454,367182,6552,7,30544052,30544053
AC005301.9,0.520837166721784,0.583683222338819,0.989832513292217,0.911273281442396,10454,367182,8382,ENSG00000283633.1,ENSG00000283633.1,0.356929414230876,0.645988179327032,0.873573547416915,0.733850774000681,0.935815698458374,0.896055319217469,0.325529583619506,0.00496155080728435,2791,646,10454,367182,8381,22,16612581,16612582
AC005306.3,0.229943279374675,0.418180074150294,0.297045924240451,0.309076168510144,10454,367182,7775,ENSG00000267283.1,ENSG00000267283.1,0.474670797380191,0.722011721614599,0.707919966546503,0.28415118278394,0.125249799745796,0.0828667426798318,0.0518077502476066,0.00106316216824469,2389,979,10454,367182,7774,19,1989400,1989401
AC005363.9,0.473160463292193,0.556381619314254,0.445977295247552,0.449997251571883,10454,367182,7389,ENSG00000255513.1,ENSG00000255513.1,0.841966192813164,0.979724575661411,0.972166514478588,0.287394684163869,0.202426748922211,0.150916069501841,0.446947981784503,0.195764337886388,2429,1073,10454,367182,7388,16,1964094,1964095
AC005519.4,0.997643080317607,0.746701496661178,0.255823732442485,0.837260805018362,10454,367182,7491,ENSG00000258559.2,ENSG00000258559.2,0.183386866486414,0.394523100959031,0.763828845634893,0.911549983723695,0.740676862691149,0.443177539372125,0.0349188578735581,0.00127181418704033,2119,773,10454,367182,7490,14,74294424,74294425
AC005532.5,0.146450907487161,0.661407363992325,0.457206986289683,0.6845457175879,10454,367182,6695,ENSG00000230825.1,ENSG00000230825.1,0.00583973717895575,0.0175893998308339,0.487447377153076,0.507404318462111,0.788170353758848,0.848146037764062,0.0640228420614628,0.00447381689622465,3573,1487,10454,367182,6694,7,7255153,7255154
AC005682.5,0.469683669973507,0.492386246686441,0.838293809549688,0.891949990353815,10454,367182,6621,ENSG00000228649.8,ENSG00000228649.8,0.927164278526783,0.479508470903591,0.226681826800691,0.588505346776314,0.808196784463722,0.715121512336492,0.129566304212631,0.000574381511720531,2286,1106,10454,367182,6620,7,22854177,22854178
AC005682.6,0.925288694936842,0.669886115065472,0.868035494919751,0.7428949895503,10454,367182,6530,ENSG00000226329.2,ENSG00000226329.2,0.951253614258405,100,100,0.253723825760767,100,100,0.0775764128916234,0.00181620701991006,2209,1049,10454,367182,6529,7,22881349,22881350
AC005775.2,0.591770628008292,0.68693351681659,0.476198662536979,0.485425182442798,10454,367182,7754,ENSG00000266933.2,ENSG00000266933.2,0.325135927838331,0.615177673945956,0.952420782145437,0.84818977668793,0.304171459602155,0.125792125664577,0.0856850992847443,0.00233183325293891,2643,1109,10454,367182,7753,19,507495,507496
AC006129.1,0.699814550029154,0.617010078296114,0.444715995195331,0.283154537623478,10454,367182,7822,ENSG00000268355.1,ENSG00000268355.1,0.770361917849973,100,100,0.0221126823429175,100,100,0.0123812498396161,9.26582854084951e-05,1597,516,10454,367182,7821,19,41531205,41531206
AC006369.2,0.996192895621715,0.657902567467885,0.157881609102641,0.967489887574552,10454,367182,6889,ENSG00000236213.1,ENSG00000236213.1,0.0893798219725688,100,100,0.68639244942545,100,100,0.148572191045076,0.00285856283829796,2655,1102,10454,367182,6888,2,37600135,37600136
AC006538.1,0.704687939676238,0.624128888618414,0.238926107418015,0.590104505606967,10454,367182,7629,ENSG00000261342.1,ENSG00000261342.1,0.602571720870195,0.285642677190353,0.134934190801616,0.0642764343359231,0.115897513505598,0.346387197823226,0.0334582404409851,0.000483245416157263,3101,1289,10454,367182,7628,19,2729326,2729327
AC006942.4,0.995938490006195,0.51168907896405,0.725995882188976,0.995372639332094,10454,367182,7841,ENSG00000269194.1,ENSG00000269194.1,0.166440409215058,100,100,0.975571289246752,100,100,0.0383928907811742,6.92312775365426e-05,1758,916,10454,367182,7840,19,49808932,49808933
AC006978.6,0.557982139463003,0.488419807498421,0.304722357870827,0.317442387994413,10454,367182,6878,ENSG00000235859.5,ENSG00000235859.5,0.471558161575728,0.0937205856503008,0.0400355946884773,0.405286720718893,0.196669758881814,0.109607479952002,0.0200513641829207,0.00285762689443965,1592,760,10454,367182,6877,7,30371507,30371508
AC007193.9,0.759163569937274,0.545554510474749,0.129922067484783,0.947079455287444,10454,367182,7833,ENSG00000268810.1,ENSG00000268810.1,0.159605065023422,100,100,0.187123259147741,100,100,0.0804745411878454,0.00137177859492411,2167,1155,10454,367182,7832,19,46383168,46383169
AC007228.11,0.893003567843969,0.54158570008583,0.148315909564231,0.527094750116827,10454,367182,7850,ENSG00000269696.1,ENSG00000269696.1,0.217647599207401,100,100,0.533467209913531,100,100,0.0461647583334937,0.000576582723109896,2400,1172,10454,367182,7849,19,56567410,56567411
AC007246.3,0.756632823362943,0.875638372105005,0.440046092186134,0.9188321091955,10454,367182,6712,ENSG00000231312.6,ENSG00000231312.6,0.349783839573899,100,100,0.224076053457885,100,100,0.0390829865926496,0,1278,412,10454,367182,6711,2,39436636,39436637
AC007278.2,0.0298817217610237,0.246932003776676,0.943587525581981,0.830649061583576,10454,367182,6902,ENSG00000236525.1,ENSG00000236525.1,0.187030921820959,0.0251839924963718,0.0177358327996929,0.171359515342577,0.192712237579222,0.233057142097295,0.122023737493252,0.014880773913335,2288,1153,10454,367182,6901,2,102433956,102433957
AC007278.3,0.16603301659817,0.441626935817239,0.204603952703108,0.645675305063916,10454,367182,6822,ENSG00000234389.1,ENSG00000234389.1,0.324831619349008,0.390572687544733,0.339877799659149,0.499333504752613,0.213749015180371,0.104891443374349,0.436290166140654,0.0183629875991435,2287,1151,10454,367182,6821,2,102438712,102438713
AC007292.6,0.51468208723217,0.715795275142436,0.798408870294566,0.391362671045957,10454,367182,7811,ENSG00000267980.1,ENSG00000267980.1,0.478182192388205,100,100,0.992419334801392,100,100,0.0695672622058816,0.00214903167424537,2370,1160,10454,367182,7810,19,4363878,4363879
AC007556.3,0.0770754742942079,0.18161591194764,0.8125924599157,0.856370574743864,10454,367182,6859,ENSG00000235321.1,ENSG00000235321.1,0.456937855636762,100,100,0.0353332841031232,100,100,0.0829430383675511,0.00421495442410424,1951,856,10454,367182,6858,2,169100742,169100743
AC007773.2,0.44778247745674,0.770246950392083,0.681075629794965,0.796609284884529,10454,367182,7770,ENSG00000267213.4,ENSG00000267213.4,0.825708347447607,0.672488757814889,0.388059300501903,0.398340664883733,0.685867786003981,0.839901082186857,0.0191866893291378,6.28083212083188e-06,2015,939,10454,367182,7769,19,32405541,32405542
AC007879.2,0.223815249047895,0.241402532526363,0.119433847659903,0.854566281087013,10454,367182,6841,ENSG00000234902.6,ENSG00000234902.6,0.170895128990606,100,100,0.0175752257276953,100,100,0.0176967303104686,0.00110416586809348,2062,956,10454,367182,6840,2,207236065,207236066
AC007950.1,0.353030307149308,0.466932020960925,0.0700877489872562,0.933009811331823,10454,367182,7529,ENSG00000259268.1,ENSG00000259268.1,0.125799300326168,100,100,0.00175389784270997,100,100,0.0203394153019039,0.00665501736630922,1964,831,10454,367182,7528,15,63469350,63469351
