gene_name,chr.x,TSS.x,TES.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps_original,num_snps_common,adsp_size.y,ukb_size.y,gene_ind.y,chr.y,TSS.y,TES.y
ABHD17AP3,1,214608839,214608840,0.669218063194901,0.362092127938099,0.427411000807057,0.478419931643452,10454,367182,7446,ENSG00000250536.1,ENSG00000250536.1,0.337116879767326,100,100,0.0186720989263319,100,100,0.0228689131686917,0.00257954993704323,2400,1102,10454,367182,7445,1,214608839,214608840
ABHD17AP4,22,20670983,20670984,0.240534888766274,0.1994260874505,0.94409582172834,0.414267750296552,10454,367182,6514,ENSG00000229107.2,ENSG00000229107.2,0.469135117358926,0.0566710658622633,0.0223703715385538,0.00631739833924778,0.0231826356983799,0.789524442577894,0.0187038681566121,0.00243273135814467,2221,1125,10454,367182,6513,22,20670983,20670984
ABHD17C,15,80679683,80679684,0.942325392967499,0.22455858939635,0.658577404858747,0.535638806461093,10454,367182,2441,ENSG00000136379.11,ENSG00000136379.11,0.132012470352013,0.30040642866647,0.711622318676468,0.13747118086055,0.156574310465552,0.220300860119831,0.0360025684189908,0.000646457315609567,2287,1108,10454,367182,2440,15,80679683,80679684
ABHD18,4,127965482,127965483,0.412708759913523,0.456041993932422,0.577660501949304,0.690800853944043,10454,367182,3812,ENSG00000164074.14,ENSG00000164074.14,0.36167681906521,100,100,0.8600675388098,100,100,0.0377942626588104,0.0320481095012433,863,439,10454,367182,3811,4,127965482,127965483
ABHD5,3,43690112,43690113,0.5797072903365,0.327751782163359,0.793028536661182,0.525881803905132,10454,367182,89,ENSG00000011198.7,ENSG00000011198.7,0.989674389552913,100,100,0.796999049023116,100,100,0.031183107828666,0.00550805733014731,1420,712,10454,367182,88,3,43690112,43690113
ABL2,1,179229683,179229684,0.349593343709438,0.265368020172454,0.587790705985173,0.743529253458265,10454,367182,2814,ENSG00000143322.19,ENSG00000143322.19,0.971431521981423,0.358317312016501,0.15207708379963,0.104676322140155,0.0755576107698541,0.111494424941555,0.182456989340989,0.00184257072661795,2714,1510,10454,367182,2813,1,179229683,179229684
ABLIM3,5,149141482,149141483,0.31065232632204,0.386362321390316,0.924469182843766,0.0387100384484908,10454,367182,4475,ENSG00000173210.19,ENSG00000173210.19,0.015467165399697,100,100,0.170709995135151,100,100,0.255570372153046,0.00195438269238503,2085,1085,10454,367182,4474,5,149141482,149141483
ABO,9,133275213,133275214,0.210363644000658,0.524583866663746,0.349802243784419,0.690050575185138,10454,367182,4578,ENSG00000175164.13,ENSG00000175164.13,0.572700113576652,100,100,0.389624400515967,100,100,0.010170066123858,0.00028168305872718,2832,1164,10454,367182,4577,9,133275213,133275214
ABT1,6,26596951,26596952,0.967267528456973,0.6247340542229,0.813627902608575,0.919239275083679,10454,367182,2978,ENSG00000146109.4,ENSG00000146109.4,0.23107380790257,0.00293159145531039,0.00138192680858101,0.0953339598547437,0.191595552612506,0.469640075416857,0.103172364381222,0.00282582624571505,2067,1071,10454,367182,2977,6,26596951,26596952
AC000078.5,22,19887288,19887289,0.721369998189021,0.151439874535357,0.124951183249954,0.157969289738572,10454,367182,6725,ENSG00000232926.1,ENSG00000232926.1,0.108627779183338,0.253744855115844,0.681095755898089,0.620328767983679,0.871546056252471,0.863474841326723,0.0137486917590694,0.0174800383078784,2359,1146,10454,367182,6724,22,19887288,19887289
AC000095.12,22,18998273,18998274,0.520741531744088,0.212877615083187,0.0585214433001814,0.153675189499695,10454,367182,9161,ENSG00000283366.1,ENSG00000283366.1,0.939148215955822,0.786159049390531,0.490539820890136,0.351625319115541,0.0482432697118441,0.0226466246756938,0.158888308642802,0.0138941477094746,1269,646,10454,367182,9160,22,18998273,18998274
AC000120.7,7,92206856,92206857,0.164168039130001,0.454720891679076,0.0966013622150604,0.235302363196158,10454,367182,7182,ENSG00000243107.1,ENSG00000243107.1,0.878070523713634,0.662591221339516,0.371206830593402,0.675526182593553,0.542018117202436,0.305575079850127,0.0402294072165383,0.0109742804056069,1094,605,10454,367182,7181,7,92206856,92206857
AC000123.2,7,127364758,127364759,0.790007351377706,0.391699521952543,0.877713584027977,0.230799438376825,10454,367182,9092,ENSG00000280347.1,ENSG00000280347.1,0.859986048386655,0.04814277917362,0.0140188596461453,0.238885748219758,0.489113012056687,0.835409390817974,0.0452547860714376,2.30412839509049e-05,1864,990,10454,367182,9091,7,127364758,127364759
AC000123.3,7,127350126,127350127,0.116467296506214,0.87050836149552,0.252187678986029,0.973115932861004,10454,367182,8990,ENSG00000279265.1,ENSG00000279265.1,0.76035414607874,100,100,0.463806389464276,100,100,0.0401031749351385,0.0067655018264744,1868,1003,10454,367182,8989,7,127350126,127350127
AC002451.3,7,95596681,95596682,0.261201284370679,0.387888991176511,0.105308469782743,0.246769400983962,10454,367182,6626,ENSG00000231170.5,ENSG00000231170.5,0.577706918929992,100,100,0.920929107939188,100,100,0.248534734767534,0.00113193527596882,1962,1034,10454,367182,6625,7,95596681,95596682
AC002456.2,7,90597352,90597353,0.609940233983506,0.613760502398252,0.818545777779984,0.604755424463555,10454,367182,6207,ENSG00000223969.5,ENSG00000223969.5,0.976300191887966,0.352178563597407,0.148630361817117,0.701521082288117,0.648793416931363,0.39667360282083,0.15147237609708,0.280249281247557,2192,1299,10454,367182,6206,7,90597352,90597353
AC002467.7,7,107744435,107744436,0.506837619422569,0.429686099265756,0.455486655974766,0.440838202750239,10454,367182,7132,ENSG00000241764.3,ENSG00000241764.3,0.368114683142443,0.513516277513419,0.469589398108299,0.0379038750740129,0.0716788902434512,0.326735797609829,0.0431940895939505,0.0118347692494943,1755,882,10454,367182,7131,7,107744435,107744436
AC002472.16,22,21014216,21014217,0.938977240197798,0.852317860961801,0.981778717827678,0.137729332661339,10454,367182,9178,ENSG00000284130.1,ENSG00000284130.1,0.340779748584896,100,100,0.608153397487951,100,100,0.0217244333288459,0.00334494698857279,1481,763,10454,367182,9177,22,21014216,21014217
AC002480.4,7,22589704,22589705,0.905048779898076,0.724240875728524,0.194155927555436,0.94841203332852,10454,367182,6728,ENSG00000232949.1,ENSG00000232949.1,0.946515247533478,0.981641288013589,0.856810373215483,0.333455459628389,0.317811462001333,0.244030004871781,0.0271333516584127,0.00975231093279924,2602,1432,10454,367182,6727,7,22589704,22589705
AC003005.2,19,57477648,57477649,0.187926564819105,0.183054280341886,0.291071293661013,0.994426554368986,10454,367182,8282,ENSG00000268266.1,ENSG00000268266.1,0.374880619385464,100,100,0.444483273508835,100,100,0.187453298171885,0.00105069034425971,2421,1274,10454,367182,8281,19,57477648,57477649
AC003075.4,7,17299356,17299357,0.302735237566157,0.40380155333357,0.389554146986987,0.577287036205766,10454,367182,7011,ENSG00000237773.5,ENSG00000237773.5,0.496555610710068,0.72158238974583,0.662633544984107,0.508260827563018,0.00707105972543624,0.00209334517316793,0.2163457018758,7.44897751628427e-05,2712,1265,10454,367182,7010,7,17299356,17299357
AC003090.1,7,25750993,25750994,0.057975118635715,0.0676847216451267,0.0251894740513735,0.0540933942340548,10454,367182,6183,ENSG00000223561.6,ENSG00000223561.6,0.222629087222822,100,100,0.505003081054265,100,100,0.0224286715560522,0.0124361723653614,2256,1130,10454,367182,6182,7,25750993,25750994
AC003973.3,19,21968528,21968529,0.956012869571796,0.542693068312956,0.930992424552303,0.413094846458765,10454,367182,9002,ENSG00000279377.1,ENSG00000279377.1,0.799233105736036,100,100,0.797370704054381,100,100,0.0291422143327748,4.32745831487194e-05,2936,1274,10454,367182,9001,19,21968528,21968529
AC004019.10,22,17418696,17418697,0.0195311693135619,0.601289032144181,0.337984357940842,0.663047329125978,10454,367182,6532,ENSG00000229492.1,ENSG00000229492.1,0.273998140909901,0.475032625150955,0.588835733288545,0.149359147794432,0.0565401716969825,0.0555059275229212,0.0301462730511784,6.31924967632841e-05,2712,1226,10454,367182,6531,22,17418696,17418697
AC004019.13,22,17589191,17589192,0.936595644088174,0.610568925792204,0.411620623678526,0.919867207060939,10454,367182,6954,ENSG00000236754.5,ENSG00000236754.5,0.382195741049486,100,100,0.994984877862279,100,100,0.0166702105260085,0.00477129189771803,2811,1299,10454,367182,6953,22,17589191,17589192
AC004160.4,7,11407055,11407056,0.52616342562566,0.493980796594758,0.291950358122702,0.421000945211993,10454,367182,6584,ENSG00000230435.1,ENSG00000230435.1,0.93552868563275,100,100,0.953210505495574,100,100,0.0125166136729752,7.49975562252233e-05,2949,1449,10454,367182,6583,7,11407055,11407056
AC004231.2,17,40921429,40921430,0.718330206632521,0.915627467102126,0.94526535502589,0.771874610490866,10454,367182,6824,ENSG00000234477.1,ENSG00000234477.1,0.793631164391933,0.720649321178067,0.443679869633513,0.629977465387933,0.884448281522066,0.907531496018046,0.015930486108897,0.00526525567759862,2173,892,10454,367182,6823,17,40921429,40921430
AC004448.5,17,19492990,19492991,0.199371899286964,0.195231686741217,0.235760686212841,0.236338823372746,10454,367182,6919,ENSG00000235979.8,ENSG00000235979.8,0.191421879530758,100,100,0.492028359420971,100,100,0.039412310812144,0.00588870229594821,799,322,10454,367182,6918,17,19492990,19492991
AC004540.4,7,26376700,26376701,0.659914517239563,0.251535456267158,0.489593310192246,0.445191913054392,10454,367182,6324,ENSG00000225792.1,ENSG00000225792.1,0.818107473487567,100,100,0.40515362922629,100,100,0.0416785208648806,0.00433720133796623,2169,1067,10454,367182,6323,7,26376700,26376701
AC004540.5,7,26398592,26398593,0.355747227064029,0.794849177739686,0.437528045552349,0.551791660325331,10454,367182,6067,ENSG00000214870.8,ENSG00000214870.8,0.789430628351584,0.791688701606715,0.52924406515952,0.0759268801614958,0.0556143170007168,0.104952358981471,0.0478922643688719,0.00889933608046364,2146,1052,10454,367182,6066,7,26398592,26398593
AC004623.3,19,1373505,1373506,0.53914984665925,0.976721157216299,0.864551842365141,0.777660553576633,10454,367182,9012,ENSG00000279488.1,ENSG00000279488.1,0.949870038952973,100,100,0.277851886226307,100,100,0.0378456723249545,0.000492984985554617,2308,1044,10454,367182,9011,19,1373505,1373506
AC004899.3,7,48852897,48852898,0.748395278853104,0.571695721101923,0.806065931801746,0.408397417232393,10454,367182,6317,ENSG00000225705.2,ENSG00000225705.2,0.824965974287631,100,100,0.664747751613894,100,100,0.108581492722822,0.00309985479268034,2887,1755,10454,367182,6316,7,48852897,48852898
AC004947.2,7,26551821,26551822,0.605488235424407,0.481804226533113,0.389222447862718,0.247752512410709,10454,367182,6774,ENSG00000233760.1,ENSG00000233760.1,0.176894543172943,100,100,0.735576659254563,100,100,0.25885939851228,0.000580915384426569,2006,1033,10454,367182,6773,7,26551821,26551822
AC004951.5,7,43990206,43990207,0.815400451710588,0.428187158968568,0.897183146031633,0.434889764587394,10454,367182,7061,ENSG00000239556.3,ENSG00000239556.3,0.623502904398814,100,100,0.939101261941341,100,100,0.105815259269507,0.00134343469028063,2013,1283,10454,367182,7060,7,43990206,43990207
AC004967.7,7,97972253,97972254,0.0652685933095835,0.675583118051444,0.881187639305303,0.646989026283922,10454,367182,7204,ENSG00000243554.1,ENSG00000243554.1,0.161323010560948,100,100,0.699291043132896,100,100,0.0802911049464276,0.00638054379593818,2406,1081,10454,367182,7203,7,97972253,97972254
AC004980.10,7,76650896,76650897,0.185532829014576,0.715333047517074,0.912704938104589,0.890398953157806,10454,367182,6035,ENSG00000214243.3,ENSG00000214243.3,0.735703068251059,0.21155955287665,0.0836550423588199,0.217373151041031,0.123084469863778,0.102375712921025,0.0334864545490885,0.00599594489706174,1788,702,10454,367182,6034,7,76650896,76650897
AC004980.7,7,76549359,76549360,0.65051715981786,0.995678567750689,0.953876293470024,0.991686538041334,10454,367182,5862,ENSG00000205485.13,ENSG00000205485.13,0.861707478220883,100,100,0.449911735387441,100,100,0.352174326810606,0.0292306257819437,1747,651,10454,367182,5861,7,76549359,76549360
AC004985.12,7,43973322,43973323,0.820595619837813,0.0401450938578958,0.98519637344341,0.682345993799405,10454,367182,7108,ENSG00000241057.2,ENSG00000241057.2,0.731126149594281,0.203068498710015,0.0797395390085063,0.783090095399886,0.444556330350571,0.213790915184805,0.251554987306686,0.0016832369477424,2021,1284,10454,367182,7107,7,43973322,43973323
AC005013.5,7,28958949,28958950,0.575012340462614,0.418753119157236,0.502458361937928,0.417073076971378,10454,367182,6478,ENSG00000228421.2,ENSG00000228421.2,0.63562610081386,0.134540640172929,0.0516490851362243,0.098429367143179,0.000827760738168663,0.000710051033485765,0.0886763818037521,0.00727176280870275,2567,1427,10454,367182,6477,7,28958949,28958950
AC005014.5,7,16586756,16586757,0.178817429282632,0.788588627035234,0.23059842658113,0.0345758708356217,10454,367182,6228,ENSG00000224280.1,ENSG00000224280.1,0.226043112463405,0.192964352440105,0.176731773264402,0.34903819695785,0.411636393460365,0.343243619239178,0.0462279947881736,0.00310018725328777,2853,1410,10454,367182,6227,7,16586756,16586757
AC005082.12,7,23206012,23206013,0.818221364438496,0.366514726360358,0.60954389847542,0.364265700015205,10454,367182,6389,ENSG00000226816.2,ENSG00000226816.2,0.157753762599544,100,100,0.644822688517769,100,100,0.0575925752115358,0.00215877868071114,1980,967,10454,367182,6388,7,23206012,23206013
AC005104.3,2,241351714,241351715,0.944939810468499,0.442380699491372,0.596259427365911,0.68529778454177,10454,367182,6172,ENSG00000223374.1,ENSG00000223374.1,0.562060288896654,100,100,0.429899712267373,100,100,0.0144736786035659,0.000923131363858286,2536,1135,10454,367182,6171,2,241351714,241351715
AC005154.6,7,30585971,30585972,0.059141079573486,0.993268992382108,0.94083641183618,0.657462860167493,10454,367182,5454,ENSG00000196295.11,ENSG00000196295.11,0.735536901606343,100,100,0.918520258383339,100,100,0.557633990332573,0.00727887388173388,1708,702,10454,367182,5453,7,30585971,30585972
AC005154.7,7,30524534,30524535,0.045361994201595,0.826751509869609,0.970608838467212,0.762216212650093,10454,367182,7241,ENSG00000244480.1,ENSG00000244480.1,0.927740966115458,100,100,0.979007141602099,100,100,0.218524432706436,0.000498637598118192,1687,719,10454,367182,7240,7,30524534,30524535
AC005253.2,19,18561518,18561519,0.984426063795764,0.946610919554187,0.942412017176881,0.895328840016121,10454,367182,8272,ENSG00000268030.1,ENSG00000268030.1,0.965144347631607,100,100,0.745312122594781,100,100,0.0489797223047396,0.00266833011526482,1948,978,10454,367182,8271,19,18561518,18561519
AC005281.1,7,12483343,12483344,0.699994272573419,0.673081967716513,0.63240896741076,0.740555788117276,10454,367182,6381,ENSG00000226690.7,ENSG00000226690.7,0.234369954381114,100,100,0.343599457965665,100,100,0.0834495872711991,0.0111460798094898,4027,1938,10454,367182,6380,7,12483343,12483344
AC005301.9,22,16612581,16612582,0.0445618392891776,0.290575685121859,0.520836634965085,0.999355783920862,10454,367182,9171,ENSG00000283633.1,ENSG00000283633.1,0.468150785016421,100,100,0.00787229526708332,100,100,0.0399378936203484,0.00341058200679846,2791,646,10454,367182,9170,22,16612581,16612582
AC005324.6,17,15743798,15743799,0.733281023865836,0.722853482682149,0.706043028784035,0.600414799019155,10454,367182,6730,ENSG00000233002.2,ENSG00000233002.2,0.487784280288373,0.762926701616858,0.806817585262126,0.0571809131167617,0.162692851980138,0.904261526110254,0.137157842419461,0.00310197377229624,1690,664,10454,367182,6729,17,15743798,15743799
AC005336.4,19,15911823,15911824,0.592230304254406,0.821837229633545,0.64024853920135,0.664492757809242,10454,367182,8187,ENSG00000267056.2,ENSG00000267056.2,0.919894218545682,100,100,0.2535932790887,100,100,0.0862031230542346,4.45915297595128e-05,3451,1902,10454,367182,8186,19,15911823,15911824
AC005363.9,16,1964094,1964095,0.498320187082181,0.672000199950741,0.551323587120804,0.880581951414479,10454,367182,7660,ENSG00000255513.1,ENSG00000255513.1,0.848269377713159,0.347595362795858,0.149560392896743,0.297150676204543,0.393651217402904,0.377863102958673,0.217881106088007,0.00152218289285224,2429,1073,10454,367182,7659,16,1964094,1964095
AC005517.3,17,15506865,15506866,0.193584028852822,0.662307275029841,0.64792595085594,0.71452396604212,10454,367182,6203,ENSG00000223878.1,ENSG00000223878.1,0.0117207314942545,100,100,0.0827591918899103,100,100,0.0646049681492016,0.00368785905564452,2095,971,10454,367182,6202,17,15506865,15506866
AC005532.5,7,7255153,7255154,0.916569507297339,0.110373509362639,0.0161239960691136,0.00708442691894934,10454,367182,6610,ENSG00000230825.1,ENSG00000230825.1,0.483109279662968,100,100,0.104717402357961,100,100,0.0239613419664512,0.00191726251857311,3573,1487,10454,367182,6609,7,7255153,7255154
AC005534.8,7,156657692,156657693,0.0867168150170816,0.77320099904591,0.993187518087156,0.793397738915976,10454,367182,6261,ENSG00000224903.1,ENSG00000224903.1,0.827205992527663,100,100,0.533725684996466,100,100,0.0191308607683771,0.00147141010961238,2371,1210,10454,367182,6260,7,156657692,156657693
AC005682.5,7,22854177,22854178,0.520629928761974,0.371405478867638,0.426400911738266,0.615819122450293,10454,367182,6492,ENSG00000228649.8,ENSG00000228649.8,0.46285040051194,0.029202895679168,0.0106207476578203,0.505312394242525,0.78169515853479,0.825129992178881,0.0133030503173975,4.04174226119818e-05,2286,1106,10454,367182,6491,7,22854177,22854178
AC005753.1,5,141826324,141826325,0.463925100018549,0.617396858231694,0.369842502867836,0.451616718029504,10454,367182,8951,ENSG00000278925.1,ENSG00000278925.1,0.175605255091329,0.358408286039998,0.640711498461737,0.0691834489704417,0.0741110305219469,0.167843949590547,0.085035241432807,0.000925540420537949,2034,1048,10454,367182,8950,5,141826324,141826325
AC005775.2,19,507495,507496,0.396909617990578,0.370728040450958,0.634280400738808,0.588333003229504,10454,367182,8180,ENSG00000266933.2,ENSG00000266933.2,0.466221255364092,100,100,0.920474100464763,100,100,0.420340929127485,0.0174849796454946,2643,1109,10454,367182,8179,19,507495,507496
AC005932.1,19,18946080,18946081,0.424230880165378,0.280068038814888,0.979494478557418,0.309250919400855,10454,367182,8311,ENSG00000269019.1,ENSG00000269019.1,0.235288817871226,0.383522168908493,0.475937312156611,0.39260057034393,0.26407442508931,0.164520727500456,0.0250288482028128,0.0117360220665503,1633,768,10454,367182,8310,19,18946080,18946081
AC005954.3,19,3756658,3756659,0.980498555786049,0.251272444143274,0.0811050305017075,0.545369415012334,10454,367182,8200,ENSG00000267138.1,ENSG00000267138.1,0.135946999208581,100,100,0.0667011498192195,100,100,0.0230842449619277,0.0121746605947581,2288,961,10454,367182,8199,19,3756658,3756659
AC005954.4,19,3755338,3755339,0.196414434410009,0.263103709260836,0.286793311807878,0.254168269625613,10454,367182,8208,ENSG00000267205.1,ENSG00000267205.1,0.259751208785307,100,100,0.51439074594818,100,100,0.027150676058531,0.00927992086580017,2290,966,10454,367182,8207,19,3755338,3755339
AC006050.2,17,30576462,30576463,0.486416977969006,0.243501813888815,0.0637792613027087,0.549867272984257,10454,367182,6637,ENSG00000231421.7,ENSG00000231421.7,0.154266254110733,0.110615830645627,0.123385001965692,0.0208950991913788,0.0650644716420823,0.719221538785915,0.41106903600049,0.16005899826229,1345,704,10454,367182,6636,17,30576462,30576463
AC006277.3,19,2949034,2949035,0.077829201277387,0.0891652867634459,0.0341415730256204,0.117238245334614,10454,367182,9010,ENSG00000279452.1,ENSG00000279452.1,0.670465405414087,100,100,0.945539938242702,100,100,0.0867308964621896,0.00250455488716372,3066,1378,10454,367182,9009,19,2949034,2949035
AC006538.1,19,2729326,2729327,0.710022185558471,0.986196057552883,0.801169429682309,0.870202967335942,10454,367182,8009,ENSG00000261342.1,ENSG00000261342.1,0.822688762325997,100,100,0.108207007211572,100,100,0.0298087116833747,0.000742650231131566,3101,1289,10454,367182,8008,19,2729326,2729327
