gene_name,chr,TSS,TES,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
ASAH1,8,18084997,18084998,2.32e-02,3.52e-03,6.06e-04,2.22e-03,1.26e-03,1.77e-02,5.66e-02
C4A,6,31982023,31982024,8.70e-01,9.26e-01,1.13e-01,4.36e-04,1.31e-03,3.99e-02, NA
WDR6,3,49007154,49007155,3.75e-03,4.71e-04,2.62e-02,1.02e-02,1.33e-03,4.21e-01,2.58e-01
NPIPA5,16,15381046,15381047,7.71e-01,5.00e-03,8.97e-01,5.30e-04,1.45e-03,3.60e-01, NA
NOTCH4,6,32224066,32224067,1.00e-01,2.19e-02,2.09e-03,6.55e-04,1.46e-03,2.62e-02, NA
PRODH,22,18936409,18936410,2.78e-01,4.97e-04,2.54e-02,9.11e-01,1.47e-03,9.55e-01,3.94e-01
DDX11L2,2,113601260,113601261,1.09e-01,1.01e-03,2.03e-02,1.33e-03,1.67e-03,2.94e-04, NA
PROC,2,127418426,127418427,9.15e-02,3.81e-01,7.40e-04,7.64e-02,2.20e-03,2.73e-04,1.25e-05
MASTL,10,27155266,27155267,8.45e-02,5.28e-03,9.15e-04,1.70e-02,2.24e-03,3.42e-04,7.64e-04
ZNF154,19,57709193,57709194,5.98e-01,8.01e-04,7.37e-01,7.44e-01,2.41e-03,8.27e-01, NA
CYB561,17,63446377,63446378,4.62e-02,3.77e-03,1.77e-03,3.28e-03,2.64e-03,8.86e-04,3.66e-03
CA3-AS1,8,85464914,85464915,1.08e-01,9.29e-02,9.12e-02,9.45e-04,2.78e-03,9.91e-03, NA
MTRNR2L3,20,57359979,57359980,1.11e-01,3.97e-03,2.16e-03,1.17e-02,3.75e-03,3.91e-04, NA
GDPD3,16,30113855,30113856,8.73e-04,2.73e-03,3.10e-01,8.05e-03,6.09e-03,9.24e-01,7.31e-01
ZNF296,19,45076508,45076509,2.89e-01,5.57e-03,4.04e-02,1.40e-01,1.42e-02,4.41e-05,8.83e-05
CHRFAM7A,15,30393848,30393849,7.74e-02,1.77e-02,6.78e-01,6.47e-03,1.44e-02,2.41e-03,9.85e-04
CTD-2336O2.3,8,1760446,1760447,1.61e-01,1.01e-02,2.89e-01,1.10e-01,2.72e-02,5.87e-04, NA
KIRREL3,11,127001164,127001165,2.84e-04,8.85e-02,1.31e-02,5.49e-02,2.84e-02,2.98e-02, NA
TANGO2,22,20017013,20017014,2.90e-01,9.87e-02,1.54e-01,1.23e-02,3.07e-02,2.20e-02,1.44e-04
ARFGAP3,22,42858105,42858106,3.89e-04,9.48e-02,3.22e-02,2.18e-02,3.43e-02,1.52e-01, NA
C15orf57,15,40565056,40565057,2.10e-02,4.87e-02,7.20e-02,1.92e-02,3.47e-02,6.00e-03,6.90e-04
RPL23AP7,2,113627089,113627090,1.62e-01,5.07e-02,2.10e-02,4.35e-01,4.40e-02,8.50e-04, NA
CTC-329D1.2,5,140401366,140401367,3.40e-04,6.42e-01,2.03e-02,4.99e-02,4.41e-02,1.03e-01,8.08e-02
RP11-472B18.1,4,39480254,39480255,3.02e-02,6.96e-02,1.37e-01,2.80e-02,5.25e-02,2.05e-04,9.71e-04
CPXM1,20,2800636,2800637,1.56e-04,8.31e-02,3.58e-02,7.44e-02,5.63e-02,4.61e-02,9.54e-02
AC142472.6,17,45148469,45148470,1.64e-02,4.29e-01,2.40e-02,1.34e-01,6.02e-02,4.26e-04,2.00e-03
LINC01567,16,24671061,24671062,7.55e-04,3.37e-02,4.27e-01,4.54e-01,9.47e-02,6.54e-01,4.26e-01
IGF2R,6,159969098,159969099,1.46e-01,8.90e-02,1.99e-01,3.08e-01,1.58e-01,4.63e-04,1.02e-03
LRRC37A2,17,46511510,46511511,7.74e-01,3.45e-01,2.41e-01,7.90e-02,1.58e-01,3.12e-02,1.29e-04
ZNF488,10,47384272,47384273,1.75e-02,4.02e-01,1.79e-01,1.32e-01,1.98e-01,8.12e-04,3.62e-03
CPLX3,15,74826546,74826547,4.76e-04,5.67e-01,7.80e-02,3.95e-01,2.00e-01,4.40e-01, NA
AL163953.3,14,53169053,53169054,4.93e-04,6.60e-01,1.45e-01,8.09e-01,4.97e-01,1.88e-01, NA
ATP6V1G1P2,8,47194346,47194347,5.49e-04,8.95e-01,9.38e-01,7.30e-01,8.96e-01,2.99e-01, NA
